#,company,domain,hq_country,sector,sport,current_deal,deal_scale_est,employees_est,affordability,why_f1,already_in_lists,source
193,Rocket Companies (Rocket Mortgage),rocketcompanies.com,USA,Fintech / Mortgage,golf,Title sponsor of the PGA Tour's Rocket Mortgage Classic in Detroit.,n/a (undisclosed),"~17,000","Public fintech/mortgage company, $5B+ in annual revenue; already funds a PGA Tour title sponsorship.","Rocket has built its brand through major sports naming rights (NBA arena, PGA Tour) - F1's rapidly growing US audience is a logical next platform for a growth-focused fintech brand.",yes,PS2
194,Sanderson Farms,sandersonfarms.com,USA,Food / Poultry Production,golf,Title sponsor of the Sanderson Farms Championship on the PGA Tour.,n/a (undisclosed),"~17,000","One of the largest US poultry producers, $4B+ in annual revenue; already funds a PGA Tour title sponsorship.",Consumer food brands rarely appear in F1 - Sanderson Farms' sustained PGA Tour spend shows real sports-marketing budget available for an untapped category.,,PS2
195,Sentry Insurance,sentry.com,USA,Insurance,golf,"Title sponsor of The Sentry, the PGA Tour's season-opening event.",n/a (undisclosed),"~4,000",Mutual insurance company with billions in annual premiums; already funds the PGA Tour's marquee season opener.,Insurers dominate US sports sponsorship broadly but have almost no presence in F1 - Sentry's season-opening golf spend proves budget exists.,,PS2
196,The Charles Schwab Corporation,schwab.com,USA,Financial Services / Brokerage,golf,Title sponsor of the Charles Schwab Cup on PGA Tour Champions.,n/a (undisclosed),"~32,000","Public brokerage giant, $19B+ in annual revenue; already funds a season-long PGA Tour Champions title sponsorship.","Wealth-management brands are a proven F1 sponsor category internationally, but Schwab - one of the largest US brokerages - has no F1 presence at all.",yes,PS2
197,The Travelers Companies,travelers.com,USA,Insurance,golf,Title sponsor of the PGA Tour's Travelers Championship.,n/a (undisclosed),"~30,000","Fortune 100 insurer, $46B+ in annual revenue; already funds one of the PGA Tour's most prominent title sponsorships.",Travelers' decades-long PGA Tour commitment shows deep sports-marketing budget that has never been directed at F1's international stage.,yes,PS2
198,Truist Financial,truist.com,USA,Banking,golf,"Title sponsor of the PGA Tour's Truist Championship, a Signature Event.",n/a (undisclosed),"~40,000","Top-10 US bank, $22B+ in annual revenue; already funds one of the PGA Tour's premier Signature Events.",Regional banks have largely stayed out of F1 - Truist's Signature Event-level golf spend shows clear budget for equivalent global motorsport exposure.,yes,PS2
199,Wells Fargo,wellsfargo.com,USA,Banking,golf,Longtime title sponsor of the PGA Tour's Wells Fargo Championship.,n/a (undisclosed),"~226,000","Top-4 US bank, $80B+ in annual revenue; already funds a marquee PGA Tour title sponsorship.",Wells Fargo has stayed within golf and NFL-adjacent sponsorships - F1's international footprint offers reach its current US-centric portfolio lacks.,yes,PS2
200,WM (Waste Management),wm.com,USA,Waste Management / Environmental Services,golf,"Title sponsor of the WM Phoenix Open, the PGA Tour's highest-attended event.",n/a (undisclosed),"~50,000","Fortune 500 environmental-services company, $20B+ in annual revenue; already funds the PGA Tour's single best-attended tournament.",WM has built a sustainability-forward sports brand story - F1's push toward net-zero by 2030 offers a directly aligned platform WM doesn't currently use.,yes,PS2
201,Zurich Insurance Group,zurich.com,Switzerland,Insurance,golf,Title sponsor of the PGA Tour's Zurich Classic of New Orleans (a team event).,n/a (undisclosed),"~55,000","Global insurance giant, $50B+ in annual revenue; already funds a PGA Tour title sponsorship.",European insurers with global reach (like Zurich) are largely missing from F1's sponsor roster despite the sport's European roots and Zurich's proven golf-sponsorship budget.,yes,PS2
202,Dunkin' Brands (Dunkin'),dunkindonuts.com,USA,Quick-Service Restaurant,mlb,"Regional MLB sponsor with team-level partnerships (e.g., Red Sox) and in-park branding.",n/a (undisclosed),"~3,000 (corporate; franchise system far larger)",Parent Inspire Brands generates tens of billions in system-wide sales; Dunkin' alone funds numerous MLB team deals.,"Dunkin's caffeine/energy positioning fits F1's early-race-day US broadcast windows, an audience it doesn't currently reach.",yes,PS2
203,Fanatics,fanatics.com,USA,Sports Merchandise / E-commerce,mlb,"Official on-field uniform and trading-card manufacturer across MLB, NFL, NBA and NHL (including MLB's Nike-Fanatics uniform partnership).","n/a (undisclosed, but MLB gear rights alone are a nine-figure category)","~24,000",Private sports-commerce giant valued at $31B+ with $8B+ in annual revenue; already the dominant merchandise partner across every major US league.,Fanatics has built its business by cornering official merchandise across US leagues - F1 merchandise/collectibles remain outside its portfolio despite the sport's booming US retail demand.,yes,PS2
204,Fox Factory Holding,foxfactory.com,USA,Auto & Motorsport Components,mlb,New MLB corporate partner as of the 2025 season.,n/a (undisclosed),"~4,000","Public motorsport/off-road suspension manufacturer, $1B+ annual revenue; just added MLB to its sponsorship roster.",Fox Factory already supplies suspension technology to off-road and NASCAR racing - F1's precision-engineering audience is a natural adjacent story it hasn't told yet.,,PS2
205,Ito En,itoen.com,Japan,Beverage - Tea,mlb,New MLB corporate partner as of the 2025 season (official green tea partner).,n/a (undisclosed),"~5,000","Japan's largest green-tea maker, $3B+ annual revenue; just began funding an MLB sponsorship.",Ito En has no motorsport presence anywhere - the Japanese Grand Prix and F1's Asian broadcast growth are open white space for a fast-growing beverage brand.,yes,PS2
206,Japan Airlines,jal.com,Japan,Airline,mlb,"New MLB corporate partner as of the 2025 season, tied to MLB's growing Japanese player pipeline.",n/a (undisclosed),"~34,000","Japan's flag carrier, $12B+ in annual revenue; just signed on as a new MLB sponsor.","Qatar Airways and Emirates own F1's airline-sponsor lane - JAL has none, despite F1's growing following in Japan (Suzuka) and now paying for MLB rights.",yes,PS2
207,Progressive Corporation,progressive.com,USA,Insurance,mlb,"Naming-rights holder of Progressive Field, home of the Cleveland Guardians, since 2008.","n/a (undisclosed, reported ~$3.6M/yr on original deal)","~66,000","Top-3 US auto insurer, $75B+ in annual revenue; already funds an MLB stadium-naming deal.",Progressive has stayed out of motorsport beyond its baseball park naming - F1's expanding US calendar is untapped inventory for an insurer this size.,yes,PS2
208,Amica Mutual Insurance,amica.com,USA,Insurance,nba,Jersey patch sponsor of the Boston Celtics for the 2025-26 season.,n/a (undisclosed),"~4,000",Amica underwrites billions in premiums annually; already funds a marquee NBA jersey-patch deal.,F1's growing Northeast US fanbase (US GP media coverage) is untapped for a regional insurer already spending at NBA scale.,,PS2
209,Bibigo (CJ CheilJedang),bibigo.com,South Korea,Food & Beverage,nba,Jersey patch sponsor of the Los Angeles Lakers for 2025-26.,n/a (undisclosed),"~40,000 (CJ Group)",CJ Group subsidiary with billions in global food revenue; already funds one of the NBA's highest-profile jersey patches.,Korean conglomerates are increasingly active in global sports marketing but absent from F1 - the Lakers patch shows Bibigo's parent will spend at this tier.,,PS2
210,Chime Financial,chime.com,USA,Fintech / Digital Banking,nba,Jersey patch sponsor of the Dallas Mavericks for 2025-26.,n/a (undisclosed),"~1,500",Newly public neobank (2025 IPO) valued in the billions; already funds an NBA jersey-patch deal.,"Fintech is the single most active category in F1 sponsorship (Visa, Crypto.com) - a newly public challenger brand like Chime needs exactly this kind of stage.",yes,PS2
211,Cleveland-Cliffs,clevelandcliffs.com,USA,Steel / Mining,nba,Jersey patch sponsor of the Cleveland Cavaliers for 2025-26.,n/a (undisclosed),"~28,000","Public steelmaker, $20B+ in annual revenue; already funds an NBA jersey patch.","Industrial suppliers to motorsport (chassis materials, aero components) rarely brand F1 directly - Cleveland-Cliffs' NBA spend shows budget for exactly this kind of visibility play.",,PS2
212,GEICO (Berkshire Hathaway),geico.com,USA,Insurance,nba,Longtime NBA advertising and marketing partner (in-arena and broadcast sponsorships across multiple teams).,n/a (undisclosed),"~30,000",Berkshire Hathaway subsidiary; one of the largest auto insurers in the US with tens of billions in premiums written.,GEICO already spends heavily on NASCAR and NBA advertising - F1's US TV audience growth is a direct extension of that same playbook.,yes,PS2
213,Ibotta,ibotta.com,USA,Fintech / Cashback Rewards,nba,Jersey patch sponsor of the Denver Nuggets for 2025-26.,n/a (undisclosed),~700,"Public cashback-rewards platform, $300M+ annual revenue; already funds an NBA jersey patch.","Ibotta's core demographic (deal-savvy, mobile-first shoppers) increasingly follows F1's US broadcasts - an easy audience-overlap pitch.",yes,PS2
214,Ledger,ledger.com,France,Crypto Hardware / Fintech,nba,Jersey patch sponsor of the San Antonio Spurs for 2025-26.,n/a (undisclosed),~700,Private crypto-security company valued over $1B; already funds an NBA jersey-patch deal.,Crypto.com and OKX already occupy F1's crypto-sponsor lane - Ledger's hardware-wallet niche is a distinct angle still open on the grid.,,PS2
215,Love's Travel Stops,loves.com,USA,Travel / Fuel Retail,nba,Jersey patch sponsor of the Oklahoma City Thunder for 2025-26.,n/a (undisclosed),"~40,000","Private, family-owned travel-center chain with $24B+ in annual revenue; already funds an NBA jersey patch.",Love's fuels America's highways including race-weekend traffic corridors - F1's expanding US calendar is an easy geographic and brand fit.,yes,PS2
216,Motorola Solutions,motorolasolutions.com,USA,Technology / Communications,nba,Jersey patch sponsor of both the Milwaukee Bucks and Chicago Bulls for 2025-26.,"n/a (undisclosed, two-team deal)","~21,000","Public technology company, $10B+ annual revenue; already funds two simultaneous NBA jersey-patch deals.","Motorola holding two NBA patches shows real sports-marketing appetite that F1's data-heavy, tech-forward broadcasts could extend.",yes,PS2
217,Paze (Early Warning Services),paze.com,USA,Fintech / Digital Wallet,nba,Jersey patch sponsor of the Atlanta Hawks for 2025-26.,n/a (undisclosed),"~1,300","Backed by a consortium of the largest US banks (JPMorgan, BofA, Wells Fargo, others); already funds an NBA jersey-patch deal.",Digital-wallet brands are fighting for share of wallet in fast-growing sports audiences - F1's US expansion is prime real estate still unclaimed.,,PS2
218,Rakuten,rakuten.com,Japan,E-commerce / Fintech,nba,"Jersey patch sponsor of the Golden State Warriors for 2025-26; also a longtime global sports sponsor (FC Barcelona, Golden State prior deals).",n/a (undisclosed),"~28,000","Public Japanese conglomerate, $15B+ annual revenue; already funds marquee sponsorships across NBA and global soccer.","Rakuten has proven willingness to pay for global sports branding (soccer, NBA) - F1's genuinely global calendar is the next logical platform.",yes,PS2
219,Robinhood Markets,robinhood.com,USA,Fintech / Trading,nba,"Jersey patch sponsor of three NBA teams simultaneously - Miami Heat, Memphis Grizzlies and Washington Wizards - for 2025-26.","n/a (undisclosed, three-team deal)","~2,300","Public trading platform, $2B+ annual revenue and rapidly growing; already funds three concurrent NBA jersey patches.","No brand has shown more appetite for stacking major US sports patches than Robinhood - F1's young, affluent US audience is a natural next stop.",yes,PS2
220,Sezzle,sezzle.com,USA,Fintech / Buy Now Pay Later,nba,Jersey patch sponsor of the Minnesota Timberwolves for 2025-26.,n/a (undisclosed),~700,"Public BNPL fintech, revenue growing 60%+ year over year; already funds an NBA jersey-patch deal.",F1's rapidly growing Gen Z/millennial US fanbase mirrors Sezzle's core BNPL demographic exactly.,yes,PS2
221,StockX,stockx.com,USA,E-commerce / Resale,nba,Jersey patch sponsor of the Detroit Pistons for 2025-26.,n/a (undisclosed),"~1,000",Private resale marketplace valued at $3.8B+; already funds an NBA jersey patch.,F1 merchandise and streetwear culture (team collabs) is booming - StockX's resale-market audience overlaps heavily with F1's younger fanbase.,yes,PS2
222,Sun Life Financial,sunlife.com,Canada,Insurance,nba,Jersey patch sponsor of the Toronto Raptors for 2025-26.,n/a (undisclosed),"~30,000","Public Canadian insurer, C$40B+ annual revenue; already funds an NBA jersey patch.",F1 has no major Canadian insurer among its partners despite the Canadian Grand Prix - Sun Life's Toronto NBA deal shows it will spend at this level.,yes,PS2
223,The Walt Disney Company,disney.com,USA,Media & Entertainment,nba,Jersey patch sponsor of the Orlando Magic (home-market tie-in) for 2025-26.,n/a (undisclosed),"~225,000","Global media giant, $90B+ annual revenue; already funds an NBA jersey patch on top of broadcast rights across leagues.","Disney/ESPN covers F1 in the US but the corporate parent has no F1 sponsorship presence, unlike its NBA patch investment.",yes,PS2
224,Tissot (Swatch Group),tissot.ch,Switzerland,Watches / Luxury Goods,nba,NBA's official timekeeper and courtside shot-clock/watch partner.,n/a (undisclosed),"~30,000 (Swatch Group)",Swatch Group parent generates CHF 6B+ in annual revenue; already funds a league-wide NBA timekeeping partnership.,TAG Heuer (LVMH) is F1's official timekeeper - Tissot's sister-brand rivalry (Swatch Group vs LVMH) gives it direct competitive motive to counter in a rival series.,yes,PS2
225,Acrisure,acrisure.com,USA,Insurance Brokerage / Fintech,nfl,"Naming-rights holder of Acrisure Stadium, home of the Pittsburgh Steelers.",n/a (undisclosed multi-year deal),"~17,000",Private insurance-fintech unicorn valued at $23B+ with $4B+ revenue; already funds NFL naming rights.,Acrisure has aggressively bought stadium and team naming rights across US sports - F1's global broadcast reach is a natural next buy.,yes,PS2
226,Allegiant Travel Company,allegiantair.com,USA,Travel / Airline,nfl,"Naming-rights holder of Allegiant Stadium, home of the Las Vegas Raiders, since 2020.",~$20-25M/yr (20-year naming rights deal),"~4,500",Public airline holding company with $2B+ annual revenue; already committed to a nine-figure stadium deal.,"F1's Las Vegas Grand Prix runs blocks from Allegiant Stadium, giving this Vegas-based sponsor an obvious hometown tie-in it doesn't yet use.",,PS2
227,Anheuser-Busch (Bud Light/Budweiser),anheuser-busch.com,USA,Beverage - Beer,nfl,NFL's official beer sponsor since 2011 in a long-running exclusive multi-brand deal.,~$150M+ over multi-year renewals (reported),"~18,000 (US ops; AB InBev ~164,000 globally)",AB InBev global revenue ~$60B; already the single largest beer advertiser across US sports.,"Heineken owns F1's global beer rights, but Vegas/Miami/Austin race weekends are prime AB InBev territory it can't currently touch.",,PS2
228,DraftKings,draftkings.com,USA,Sports Betting / Fantasy,nfl,NFL's official sports-betting co-partner and exclusive official fantasy football partner.,n/a (undisclosed),"~4,700","Public company, ~$5B annual revenue; already pays for top-tier NFL betting and fantasy rights.","F1 has no marquee US betting partner yet even as its Las Vegas, Miami and Austin races draw heavy wagering interest - a clear white space for a scaled operator.",yes,PS2
229,Empower,empower.com,USA,Financial Services - Retirement,nfl,"Naming-rights holder of Empower Field at Mile High, home of the Denver Broncos.",n/a (undisclosed),"~7,000","One of the largest US retirement-services providers, $1.7 trillion+ in assets under administration.","Empower rebranded aggressively into sports (NFL, PGA Tour Champions) - F1's international reach fits its brand-awareness push.",,PS2
230,EverBank,everbank.com,USA,Banking,nfl,"Naming-rights holder of EverBank Stadium, home of the Jacksonville Jaguars.",n/a (undisclosed),~700,Digital bank with $37B+ in assets under Jacksonville-based ownership; already funds NFL stadium naming.,F1's Miami Grand Prix has turned Florida into an F1 hotbed - a fellow Florida-headquartered bank has an easy regional story to tell.,,PS2
231,Highmark Health,highmark.com,USA,Health Insurance,nfl,"Naming-rights holder of Highmark Stadium, home of the Buffalo Bills.","n/a (undisclosed, renewed 2023)","~35,000",Nonprofit health system/insurer with $27B+ in annual revenue; already funds NFL stadium naming rights.,Regional insurers rarely touch global motorsport - F1's expanding US footprint offers Highmark a national stage beyond western New York.,,PS2
232,Huntington Bancshares,huntington.com,USA,Banking,nfl,"Naming-rights holder of Huntington Bank Field, home of the Cleveland Browns.",n/a (undisclosed),"~20,000","Public regional bank holding company, ~$200B in assets; already funds NFL stadium naming rights.",Regional banks have been notably absent from F1's sponsor roster - Huntington's NFL commitment shows budget and appetite for stadium-scale sports marketing.,yes,PS2
233,Levi Strauss & Co.,levi.com,USA,Apparel,nfl,"Naming-rights holder of Levi's Stadium, home of the San Francisco 49ers.",~$11M/yr (~$220M over 20 years),"~19,000","Public apparel company, $6B+ in annual revenue; already funds one of the NFL's marquee stadium-naming deals.","Puma and Tommy Hilfiger own F1 apparel visibility - Levi's has none, despite already paying nine figures for NFL stadium branding.",yes,PS2
234,Lincoln Financial Group,lincolnfinancial.com,USA,Financial Services / Insurance,nfl,"Naming-rights holder of Lincoln Financial Field, home of the Philadelphia Eagles.","n/a (undisclosed, ~$139.6M/20-year original deal)","~10,000",Fortune 500 insurer/asset manager with $17B+ in annual revenue; already funds an NFL stadium-naming deal.,F1's newly minted US fanbase skews younger and wealthier - exactly the demographic Lincoln Financial is chasing beyond its NFL buy.,yes,PS2
235,Lumen Technologies,lumen.com,USA,Telecommunications,nfl,"Naming-rights holder of Lumen Field, home of the Seattle Seahawks and Sounders.",n/a (undisclosed long-term deal),"~28,000",Public telecom with $12B+ annual revenue; already committed to a marquee NFL stadium-naming deal.,"Telecom rivals AWS and Lenovo already have F1 tech-partner status - Lumen has none, despite paying for equivalent NFL exposure.",yes,PS2
236,M&T Bank,mtb.com,USA,Banking,nfl,"Naming-rights holder of M&T Bank Stadium, home of the Baltimore Ravens.",n/a (undisclosed),"~22,000",Public regional bank with ~$210B in assets; already funds an NFL stadium-naming deal.,Regional banks like M&T rarely get international exposure - F1's global broadcast footprint would be a rare reach extension beyond its Mid-Atlantic base.,yes,PS2
237,Nissan North America,nissanusa.com,USA,Automotive,nfl,"Naming-rights holder of Nissan Stadium, home of the Tennessee Titans.","n/a (undisclosed, ~$60M/20-year deal)","~15,000 (US)","Global automaker, parent Nissan Motor revenue ~$85B; already committed to a nine-figure NFL naming deal.","Nissan built its brand on motorsport heritage (GT-R, Le Mans) but has no current F1 tie, unlike rivals now entering via Cadillac/Honda/Ford.",yes,PS2
238,PayPal,paypal.com,USA,Fintech / Payments,nfl,"NFL's official peer-to-peer payments partner in a new multiyear deal, plus an NBA Phoenix Suns jersey patch.",n/a (undisclosed),"~29,000",Public fintech with ~$32B annual revenue; simultaneously funds NFL league rights and an NBA patch deal.,"Payments rivals are entering motorsport quickly; F1's global fintech-sponsor field (Visa, Crypto.com) is still open to a challenger like PayPal.",yes,PS2
239,Raymond James Financial,raymondjames.com,USA,Financial Services,nfl,"Naming-rights holder of Raymond James Stadium, home of the Tampa Bay Buccaneers.",n/a (undisclosed),"~19,000","Public financial-services firm, $13B+ in annual net revenue; already funds NFL stadium naming rights.",F1's Miami race has turned Florida into a magnet for financial-services sponsors - a fellow Florida-based firm has a built-in home-market pitch.,yes,PS2
240,SoFi Technologies,sofi.com,USA,Fintech,nfl,"Naming-rights holder of SoFi Stadium, home of the LA Rams and Chargers, in a 20-year deal.",~$30M/yr (~$625M over 20 years),"~4,700","Public fintech, revenue >$2.6B and growing; already funds one of the most expensive stadium-naming deals in sports.",SoFi has shown it will spend nine figures for sports visibility; F1's Miami/Vegas fintech-friendly crowd is untapped.,yes,PS2
241,US Bank,usbank.com,USA,Financial Services - Banking,nfl,Banking and wealth-management partner of the NFL; sponsors the league's MVP award from Super Bowl LXI.,n/a (undisclosed),"~70,000",Top-5 US bank with ~$650B in assets; already committed to a new NFL award sponsorship.,"US Bank just expanded its NFL footprint, showing appetite for high-visibility sports platforms - F1's US growth is the natural next stage.",yes,PS2
242,Bridgestone,bridgestone.com,Japan,Tires,nhl,Presenting sponsor of the NHL Winter Classic for over a decade.,n/a (undisclosed),"~110,000","World's largest tire manufacturer, $30B+ annual revenue; already funds a marquee NHL event-naming sponsorship.","Pirelli holds F1's exclusive tire supply, but Bridgestone already supplies MotoGP and WEC and has the scale to challenge for future F1 tire or marketing rights.",yes,PS2
243,CCM Hockey / Bauer Hockey,bauer.com,Canada,Sporting Goods,nhl,Official on-ice equipment and base-layer apparel supplier to the NHL.,n/a (undisclosed league-wide equipment deal),"~1,000",Leading hockey-equipment manufacturer with hundreds of millions in annual revenue; already the NHL's official gear supplier.,"Performance apparel brands have found a home in F1 (Puma, Tommy Hilfiger) but hockey-specific gearmakers like Bauer have never crossed over despite comparable budgets.",,PS2
244,Discover Financial Services,discover.com,USA,Financial Services / Payments,nhl,Major NHL sponsor and card-payments partner.,n/a (undisclosed),"~20,000","Public payments and banking company, $16B+ in annual revenue; already funds NHL sponsorship and long-running college-football bowl sponsorships.","Visa is F1's card-payments partner - Discover, a direct network competitor, has clear rivalry motive plus existing budget proven through NHL and bowl-game deals.",yes,PS2
245,Enterprise Rent-A-Car (Enterprise Mobility),enterprise.com,USA,Car Rental / Mobility,nhl,Official rental-car partner of the NHL.,n/a (undisclosed),"~90,000","Private mobility giant, $35B+ in annual revenue; already funds an NHL league-wide partnership.",Hertz and Avis have flirted with motorsport but F1 has no dedicated US rental-car partner despite race-weekend travel demand at every US Grand Prix.,yes,PS2
246,Frito-Lay (Lay's / PepsiCo),fritolay.com,USA,Food & Beverage - Snacks,nhl,Official snack partner of the NHL.,n/a (undisclosed),"~318,000 (PepsiCo)",PepsiCo revenue ~$92B; Lay's is a multi-billion-dollar global snack brand already funding NHL rights.,"PepsiCo brands are absent from F1's grid despite race-day snacking occasions and a young, growing US fanbase perfect for Lay's marketing.",,PS2
247,Molson Coors Beverage Company,molsoncoors.com,USA/Canada,Beverage - Beer,nhl,Major NHL beer sponsor across multiple team and league-level deals.,n/a (undisclosed),"~15,700","Public beverage giant, $11B+ in annual revenue; already funds extensive NHL sponsorship inventory.","Heineken holds F1's global beer rights, but Molson Coors has zero presence in a sport rapidly growing across its core North American beer markets.",,PS2
248,Rogers Communications,rogers.com,Canada,Telecommunications / Media,nhl,Major NHL broadcast and sponsorship partner in Canada.,n/a (undisclosed),"~26,000","Canada's largest telecom/media company, C$20B+ in annual revenue; already funds NHL rights at scale.","F1's Canadian Grand Prix draws huge national interest, yet Canada's biggest telecom-media company has no direct F1 sponsorship presence.",yes,PS2
249,Toyota Motor North America,toyota.com,Japan/USA,Automotive,nhl,Official vehicle partner of the NHL.,n/a (undisclosed),"~380,000 (global)","World's largest automaker by volume, $300B+ global revenue; already funds NHL and extensive US motorsport (NASCAR, IndyCar).",Toyota races in NASCAR and IndyCar but has been absent from F1 since 2009 - the sport's US resurgence reopens exactly the market it once left.,yes,PS2
250,Bacardi (Grey Goose),bacardi.com,Bermuda,Spirits,tennis,Official vodka sponsor of the US Open.,n/a (undisclosed),"~8,000","World's largest privately held spirits company, $5B+ in annual revenue; already funds a Grand Slam sponsorship.","Moët Hennessy (LVMH) owns F1's spirits presence - Bacardi, a direct global rival, has strong competitive motive and proven Grand Slam-level budget.",,PS2
251,BNP Paribas,bnpparibas.com,France,Banking,tennis,Main partner of the French Open (Roland-Garros) since 1973.,n/a (undisclosed),"~183,000","One of the world's largest banks, €50B+ in annual revenue; already one of tennis's longest-running sponsors (52+ years).",F1 has no major continental-European bank sponsor despite the sport's deep European roots - BNP Paribas' five-decade tennis commitment shows exactly this kind of long-horizon sports investment appetite.,yes,PS2
252,Chubb Limited,chubb.com,Switzerland/USA,Insurance,tennis,Official sponsor of the US Open.,n/a (undisclosed),"~40,000","World's largest publicly traded property-casualty insurer, $54B+ in annual revenue; already funds a Grand Slam sponsorship.",Global insurers with F1-scale budgets remain largely absent from the sport - Chubb's Grand Slam commitment shows it plays in the right sponsorship tier.,yes,PS2
253,Davide Campari-Milano (Aperol),camparigroup.com,Italy,Spirits,tennis,Official spirits partner of the US Open.,n/a (undisclosed),"~4,000","Public Italian spirits group, €3B+ in annual revenue; already funds a Grand Slam sponsorship.","Aperol's summer/lifestyle branding fits F1's European race-weekend culture (Monaco, Italy, Miami) perfectly, yet it has no current F1 presence.",yes,PS2
254,Evian (Danone),evian.com,France,Beverage - Bottled Water,tennis,Official water partner of Wimbledon for over 30 years.,n/a (undisclosed),"~90,000 (Danone)",Danone Group revenue exceeds $27B annually; Evian alone funds one of tennis's longest continuous sponsorships.,F1 has no dedicated bottled-water partner despite trackside hydration being a constant visual at every race - open category white space for Evian.,yes,PS2
255,Haier Group,haier.com,China,Consumer Electronics / Appliances,tennis,Official Home and Entertainment Partner and Gold Partner of the ATP Tour through 2028.,n/a (undisclosed),"~100,000","One of the world's largest appliance makers, $40B+ in annual revenue; already funds a multi-year global ATP partnership.","Lenovo's F1 deal shows Chinese tech/appliance brands are actively buying into F1 - Haier, a direct scale peer, has no equivalent presence yet despite comparable ATP spend.",yes,PS2
256,IHG Hotels & Resorts,ihg.com,UK,Hospitality,tennis,Official hotel partner of the US Open.,n/a (undisclosed),"~14,000 (corporate; system-wide far larger)","One of the world's largest hotel groups, $5B+ in annual revenue across 6,000+ hotels; already funds a Grand Slam hospitality partnership.","F1 race weekends drive massive hotel demand in host cities (Vegas, Miami, Austin) yet IHG has no official F1 partnership despite comparable Grand Slam spend.",yes,PS2
257,Jaguar Land Rover (Range Rover),landrover.com,UK,Automotive - Luxury,tennis,Official vehicle partner of Wimbledon.,n/a (undisclosed),"~35,000","Tata Motors-owned luxury automaker, £20B+ in annual revenue; already funds Wimbledon's official car partnership.","Aston Martin's F1 presence has raised the bar for British luxury automakers in motorsport - Range Rover has none, despite comparable Wimbledon-level spend.",,PS2
258,JPMorgan Chase,jpmorganchase.com,USA,Banking,tennis,Global Partner of the US Open (J.P. Morgan) and Chase-branded fan experiences.,n/a (undisclosed),"~317,000","World's largest bank by assets, $180B+ in annual revenue; already a headline US Open sponsor.","Visa and Mastercard are locked into F1's payments-sponsor category, but the world's biggest bank by assets has no F1 presence at all.",yes,PS2
259,Kia Corporation,kia.com,South Korea,Automotive,tennis,"Largest sponsor of the Australian Open by annual value, estimated at $15M/yr.",~$15M/yr (reported),"~52,000","Major global automaker, $65B+ in annual revenue; already the Australian Open's single largest sponsor.",Kia's affordable-performance brand positioning and existing motorsport programs (WRC) give it a clear rationale to extend into F1's growing global audience.,yes,PS2
260,La Roche-Posay (L'Oréal),laroche-posay.us,France,Beauty / Skincare,tennis,Official skincare partner of the US Open.,n/a (undisclosed),"~90,000 (L'Oréal)",L'Oréal Group revenue exceeds $45B annually; already funds a Grand Slam skincare sponsorship.,"Beauty and lifestyle brands have started appearing around F1's paddock culture, but L'Oréal has no direct F1 tie despite comparable Grand Slam investment.",,PS2
261,Lacoste,lacoste.com,France,Apparel,tennis,"Premium partner of the French Open, extended through 2030.",n/a (undisclosed),"~4,600","Global apparel brand under Maus Frères, $2B+ in annual revenue; already a marquee, decades-long French Open sponsor.","Puma and Tommy Hilfiger anchor F1's apparel category, but fellow lifestyle-sport brand Lacoste has never crossed into motorsport despite comparable tennis-sponsorship scale.",yes,PS2
262,Lavazza,lavazza.com,Italy,Beverage - Coffee,tennis,Official coffee partner of the US Open.,n/a (undisclosed),"~4,000","Major Italian coffee company, €2.7B+ in annual revenue; already funds a Grand Slam sponsorship.","Italian brands have deep motorsport heritage (Ferrari, Pirelli) yet Lavazza has no F1 tie despite comparable US Open spend and F1's growing Italian/US crossover audience.",,PS2
263,"Mars, Incorporated (M&M's)",mars.com,USA,Confectionery,tennis,New Australian Open sponsor as of 2025.,n/a (undisclosed),"~140,000","Private confectionery and pet-care giant, $50B+ in annual revenue; just signed on as a new Grand Slam sponsor.",Confectionery brands are almost entirely absent from F1 despite race-day being a major snacking/viewing occasion for younger fans - a fresh Australian Open deal shows Mars is actively expanding into sports sponsorship.,yes,PS2
264,Ralph Lauren Corporation,ralphlauren.com,USA,Apparel,tennis,"Official outfitter of the US Open for over 20 years (ballkids, umpires, staff uniforms).",n/a (undisclosed),"~13,000","Public luxury apparel company, $6.6B+ in annual revenue; already funds one of tennis's longest-running sponsorships.","Tommy Hilfiger owns F1 apparel visibility - direct rival Ralph Lauren has none, despite a two-decade-plus tennis commitment at comparable spend.",yes,PS2
265,Wilson Sporting Goods,wilson.com,USA,Sporting Goods,tennis,"Official ball supplier of the US Open (and equipment supplier across NFL, MLB and NBA).",n/a (undisclosed),"~2,000","Owned by Amer Sports (public, $5B+ revenue); already the official equipment supplier across multiple major US leagues plus tennis.","Wilson already spans nearly every major US sport's equipment contracts - F1's technical/performance-gear culture (driver equipment, team merchandise) is the one major series it hasn't entered.",,PS2
266,Yokohama Rubber Company,y-yokohama.com,Japan,Tires,tennis,"Global tire partner of the ATP Tour, renewed through 2028.",n/a (undisclosed),"~24,000","Major global tire manufacturer, $6B+ in annual revenue; already funds a multi-year global ATP tour partnership.","Pirelli's F1 exclusivity shuts out every rival tire brand from the grid itself, but Yokohama's proven willingness to fund global tennis rights shows appetite for equivalent off-track F1 marketing and paddock presence.",yes,PS2
