#,brand,domain,employee_band,revenue_est,funding_total,valuation_est,confidence,num_f1_rivals,f1_sponsors_it_competes_with,categories,note
1346,EBC Brakes,ebcbrakes.com,250-1k,unknown,n/a (private/bootstrapped),unknown,low,1,Brembo,"Energy, Industrial & Automotive",Aftermarket brake components
1347,Eberspächer,eberspaecher.com,5k-20k,~€4.9B (2022),n/a (private/family owned),unknown,medium,1,Tenneco,"Energy, Industrial & Automotive",Exhaust/emissions systems
1348,Eckes-Granini,eckes-granini.com,1k-5k,~€900M est.,n/a (private/family owned),unknown,low,1,Rauch,"Beverages, Food & CPG","German juice group (hohes C, Granini)"
1349,Ecover,ecover.com,unknown,unknown (brand of SC Johnson),"n/a (private, SC Johnson)",unknown,low,1,Dirt is Good / OMO (Unilever),"Beverages, Food & CPG",SC Johnson eco-friendly detergent brand
1350,EDB (EnterpriseDB),enterprisedb.com,250-1k,unknown,~$375M+ raised,unknown,medium,1,Oracle,"Cloud, Data & AI Software",database rival
1351,Edrington Group,theedringtongroup.com,1k-5k,~£1B+ est.,"n/a (private, Robertson Trust owned)",unknown,medium,1,Moet Hennessy (LVMH),"Beverages, Food & CPG",Scotch whisky group (Macallan)
1352,edX (2U),edx.org,1k-5k,unknown,"n/a (private, 2U emerged from Ch.11 restructuring 2024)",unknown,low,1,Udemy,"Health, Betting & Services",Online learning platform
1353,Effen Vodka,effenvodka.com,unknown,unknown (brand of Beam Suntory),"n/a (private, Beam Suntory)",unknown,low,1,NEFT Vodka,"Beverages, Food & CPG",Beam Suntory premium vodka
1354,EFG International,efginternational.com,1k-5k,~CHF 1B operating income est.,n/a (public),mkt cap ~CHF 3B,medium,1,UBS,"Payments, Banking & Insurance",Swiss private banking rival
1355,Egnyte,egnyte.com,250-1k,unknown,~$137.5M raised,~$1.5B (2024),medium,1,Dropbox,"Cloud, Data & AI Software",cloud content platform rival
1356,EgyptAir,egyptair.com,5k-20k,unknown (state-owned),n/a (state-owned),unknown,low,1,Gulf Air,"Travel, Logistics & Property",Regional flag carrier
1357,El Pollo Loco,elpolloloco.com,1k-5k,~$470M (2023),n/a (public),mkt cap ~$300M,medium,1,McDonald's (Arcos Dorados),"Beverages, Food & CPG",US grilled chicken QSR chain
1358,Elbit Systems,elbitsystems.com,20k+,~$5.5B (2023),n/a (public),mkt cap ~$10-15B,high,1,IndraMind (Indra Sistemas),"Cyber, IT & Hardware",defense technology
1359,Electrolux,electroluxgroup.com,20k+,~SEK 130B / ~$13B (2023),n/a (public),mkt cap several billion USD,high,1,Philips,"Energy, Industrial & Automotive",Home appliances
1360,Eleiko,eleiko.com,250-1k,unknown,n/a (private/bootstrapped),unknown,low,1,Technogym,"Telecom, Media, Electronics & Gaming",Strength training equipment maker
1361,Element Fleet Management,elementfleet.com,1k-5k,~CAD 900M est.,n/a (public),mkt cap ~CAD 8-9B,medium,1,Solera,"Cyber, IT & Hardware",fleet management software
1362,Ellington Properties,ellingtonproperties.ae,250-1k,unknown,n/a (private/bootstrapped),unknown,low,1,DAMAC Properties,"Travel, Logistics & Property",Dubai boutique luxury developer
1363,Elliott Management,elliottmgmt.com,250-1k,"unknown (AUM ~$65B, not revenue)",n/a (private partnership),unknown,medium,1,ZCG,"Payments, Banking & Insurance",Multi-strategy hedge fund/credit rival
1364,Emaar Properties,emaar.com,5k-20k,~AED 22B / ~$6B (2023),n/a (public),mkt cap ~$19-21B,medium,1,DAMAC Properties,"Travel, Logistics & Property",Dubai's largest developer
1365,Emirates NBD,emiratesnbd.com,5k-20k,"substantial (net profit AED 20B+, 2023)","n/a (public, majority govt owned)",mkt cap ~$25-30B,medium,1,Standard Chartered,"Payments, Banking & Insurance",Middle East banking rival
1366,Emirates SkyCargo,skycargo.com,1k-5k,unknown (division of Emirates Group),"n/a (state-owned, Emirates Group)",unknown,low,1,Atlas Air,"Travel, Logistics & Property",Air cargo carrier rival
1367,Emma Sleep,emma-sleep.com,1k-5k,unknown,~€120M+ raised,unknown,low,1,Eight Sleep,"Health, Betting & Services",DTC mattress brand (EU)
1368,Emperador Inc.,emperadorinc.com,1k-5k,~$1.5B+ est.,"n/a (public, PSE listed)",mkt cap several billion USD,medium,1,Moet Hennessy (LVMH),"Beverages, Food & CPG",Filipino brandy/whisky group (Whyte & Mackay)
1369,Employee Navigator,employeenavigator.com,250-1k,unknown,"n/a (private, PSG Equity backed)",unknown,low,1,Businessolver,"Payments, Banking & Insurance",Benefits administration platform rival
1370,Emporio Armani,armani.com,5k-20k,unknown (brand of Armani Group),"n/a (private, Giorgio Armani S.p.A.)",unknown,low,1,Hugo Boss (BOSS / HUGO / Hugo Eyewear),"Luxury, Fashion & Beauty",Italian premium fashion brand
1371,Empower,empower.me,250-1k,unknown,~$174M raised,unknown,medium,1,Endstate,"Crypto, Trading & Wealth",cash advance/finance app
1372,Empyrean Benefit Solutions,goempyrean.com,250-1k,unknown,n/a (private/bootstrapped),unknown,low,1,Businessolver,"Payments, Banking & Insurance",Benefits administration platform rival
1373,Enkei,enkei.com,1k-5k,unknown,"n/a (public, Japan listed)",unknown,low,1,BBS Wheels,"Energy, Industrial & Automotive",Performance/OEM wheels
1374,Entel,entel.cl,5k-20k,~$2B+ est.,n/a (public),mkt cap several billion USD,medium,1,Claro / Telcel (America Movil),"Telecom, Media, Electronics & Gaming",Chile/Peru carrier
1375,EPFL,epfl.ch,5k-20k,unknown (public university),n/a (public academic institution),unknown,medium,1,KAUST,"Health, Betting & Services",STEM research university
1376,ePlus Inc,eplus.com,1k-5k,~$2B (2023),n/a (public),mkt cap ~$2B,medium,1,Arrow Electronics,"Cyber, IT & Hardware",IT solutions/distribution
1377,Epsilon Telecommunications,epsilontel.com,250-1k,unknown,"n/a (private, HGC Global Communications owned)",unknown,low,1,Tata Communications,"Telecom, Media, Electronics & Gaming",Global connectivity marketplace
1378,EQT AB,eqtgroup.com,1k-5k,"substantial (fee income, 2023)",n/a (public),mkt cap ~€25-30B,medium,1,Carlyle,"Payments, Banking & Insurance",European private equity rival
1379,Ermenegildo Zegna,zegna.com,5k-20k,~€1.9B (2023),"n/a (public, NYSE via SPAC 2021)",mkt cap ~$1.5-2B,medium,1,Hugo Boss (BOSS / HUGO / Hugo Eyewear),"Luxury, Fashion & Beauty",Italian luxury menswear house
1380,Errea,errea.com,250-1k,unknown,n/a (private/bootstrapped),unknown,low,1,Castore,"Luxury, Fashion & Beauty",Italian teamwear brand
1381,ESI Group,esi-group.com,1k-5k,unknown,n/a (subsidiary of public Keysight Technologies since 2023),unknown,low,1,Ansys (Synopsys),"Cloud, Data & AI Software",virtual prototyping rival
1382,ESPN Bet (Penn Entertainment),espnbet.com,20k+,"unknown (brand, parent PENN Entertainment)",n/a (public parent PENN),"mkt cap (PENN, varies)",low,1,FanDuel (Flutter Entertainment),"Health, Betting & Services",US sportsbook
1383,ESPN+ (Disney),espn.com,unknown,unknown (segment of Disney),n/a (public parent Disney),unknown,low,1,Paramount+ (Paramount Skydance),"Telecom, Media, Electronics & Gaming",Sports streaming service
1384,Espressif Systems,espressif.com,1k-5k,~$300M+ est. (varies),"n/a (public, Shanghai STAR listed)",mkt cap several billion RMB,medium,1,Snapdragon (Qualcomm),"Cyber, IT & Hardware",IoT wireless SoCs
1385,Estee Lauder,esteelauder.com,20k+,~$15.9B (FY2023),n/a (public),mkt cap ~$30-40B (fluctuates),high,1,Charlotte Tilbury (Puig),"Luxury, Fashion & Beauty",Prestige color cosmetics & skincare brand
1386,Estee Lauder Companies,elcompanies.com,20k+,~$15.9B (FY2023),n/a (public),mkt cap ~$30-40B (fluctuates),high,1,LVMH,"Luxury, Fashion & Beauty",Prestige beauty conglomerate
1387,ETB,etb.com.co,1k-5k,unknown,n/a (majority government owned),unknown,low,1,Claro / Telcel (America Movil),"Telecom, Media, Electronics & Gaming",Colombia carrier
1388,ETH Zurich,ethz.ch,5k-20k,unknown (public university),n/a (public academic institution),unknown,medium,1,KAUST,"Health, Betting & Services",STEM research university
1389,Euroclear,euroclear.com,1k-5k,~€2B+ (2023),"n/a (private, bank-consortium owned)",unknown,medium,1,BNY,"Payments, Banking & Insurance",Post-trade settlement/custody rival
1390,Eurogate,eurogate.de,5k-20k,unknown,"n/a (private, Eurokai/BLG JV)",unknown,low,1,DP World,"Travel, Logistics & Property",European container terminal operator
1391,Euronext,euronext.com,1k-5k,~€1.5B (2023),n/a (public),mkt cap ~€8-10B,high,1,Nasdaq,"Crypto, Trading & Wealth",pan-European exchange operator
1392,Eventbrite,eventbrite.com,250-1k,~$300M+ (2023),n/a (public),mkt cap ~$300-500M,high,1,Fever,"Telecom, Media, Electronics & Gaming",Events discovery/ticketing
1393,Eveready,eveready.com,unknown,"unknown (brand, parent varies by region)",n/a (brand of larger battery/consumer co.),unknown,low,1,Duracell (Berkshire Hathaway),"Telecom, Media, Electronics & Gaming",Consumer battery brand
1394,EVS Broadcast Equipment,evs.com,250-1k,~€100M+ est.,"n/a (public, Euronext Brussels)",mkt cap ~€300-400M,medium,1,Riedel,"Telecom, Media, Electronics & Gaming",Live broadcast production systems
1395,Exabeam,exabeam.com,250-1k,unknown,~$400M+ raised,~$2.4B (2021 round),medium,1,Splunk (Cisco),"Cloud, Data & AI Software",SIEM/UEBA rival
1396,Exclusive Networks,exclusive-networks.com,1k-5k,"~€3.8B (2023, distribution revenue)","n/a (public, Euronext Paris)",mkt cap ~€1-1.5B,medium,1,Arrow Electronics,"Cyber, IT & Hardware",cybersecurity/networking distribution
1397,Exotel,exotel.com,250-1k,unknown,~$45M raised,unknown,medium,1,Infobip,"Telecom, Media, Electronics & Gaming",CPaaS platform
1398,Expleo,expleo.com,5k-20k,~€1.4B est.,n/a (private/PE consortium owned),unknown,medium,1,Akkodis (Adecco Group),"Cyber, IT & Hardware",engineering & quality consulting
1399,Fagerhult,fagerhultgroup.com,1k-5k,~SEK 9B est.,"n/a (public, Nasdaq Stockholm)",unknown,medium,1,Signify,"Energy, Industrial & Automotive",Nordic professional lighting
1400,Fagioli,fagioli.com,1k-5k,unknown,n/a (private/bootstrapped),unknown,low,1,Mammoet,"Energy, Industrial & Automotive",Heavy lifting/transport
1401,Famous Grouse,famousgrouse.com,unknown,unknown (brand of Edrington Group),"n/a (private, Edrington Group)",unknown,low,1,Chivas Regal (Pernod Ricard),"Beverages, Food & CPG",Edrington blended Scotch
1402,Fanatics Sportsbook,fanatics.com,20k+,unknown,"n/a (private, Fanatics Inc.)","~$25-31B (private, 2022 round)",medium,1,FanDuel (Flutter Entertainment),"Health, Betting & Services",US sportsbook
1403,Fanola,fanola.com,250-1k,unknown,n/a (private/bootstrapped),unknown,low,1,Wella Company,"Beverages, Food & CPG",Italian professional hair care brand
1404,Farmers Insurance Group,farmers.com,20k+,substantial (premiums >$20B),"n/a (private, majority Zurich Insurance owned)",unknown,medium,1,Orion180,"Payments, Banking & Insurance",National homeowners insurer rival
1405,Farouk Systems (CHI),chihaircare.com,250-1k,unknown,n/a (private/bootstrapped),unknown,low,1,Wella Company,"Beverages, Food & CPG",US professional hair care brand
1406,Farrow & Ball,farrow-ball.com,250-1k,unknown,n/a (private equity owned),unknown,low,1,Sherwin-Williams,"Energy, Industrial & Automotive",UK premium paint brand
1407,Fastly,fastly.com,1k-5k,~$500M (2023),n/a (public),mkt cap ~$1-1.5B,high,1,AWS (Amazon),"Cloud, Data & AI Software",edge cloud challenger
1408,FAW,faw.com,20k+,huge (~$90B+ RMB group est.),n/a (Chinese state-owned enterprise),unknown,medium,1,Iveco,"Energy, Industrial & Automotive",Chinese commercial truck major
1409,Fendi,fendi.com,1k-5k,unknown (brand of LVMH),n/a (public parent LVMH),unknown,low,1,Louis Vuitton (LVMH),"Luxury, Fashion & Beauty",LVMH luxury leather goods
1410,Fenwick & West,fenwick.com,1k-5k,unknown,n/a (private law partnership),unknown,low,1,Morrison Foerster,"Health, Betting & Services",Tech-focused law firm
1411,Ferrarelle,ferrarelle.it,250-1k,unknown,n/a (private/bootstrapped),unknown,low,1,S.Pellegrino (Nestle),"Beverages, Food & CPG",Italian premium sparkling water
1412,Ferrari,ferrari.com,5k-20k,~€5.97B (2023),n/a (public),mkt cap ~€80-90B,high,1,Aston Martin Lagonda,"Energy, Industrial & Automotive",Luxury sports car maker/F1 works team
1413,Finnair,finnair.com,5k-20k,~€2.7B (2023),"n/a (public, majority Finnish state owned)",mkt cap ~€400-600M,medium,1,Singapore Airlines,"Travel, Logistics & Property",Europe-Asia connector carrier
1414,Fireblocks,fireblocks.com,250-1k,unknown,~$1B+ raised,~$8B (2022 round),high,1,Circle,"Crypto, Trading & Wealth",digital asset custody/infrastructure
1415,First Abu Dhabi Bank,bankfab.com,5k-20k,"substantial (net profit AED 14B+, 2023)","n/a (public, majority govt owned)",mkt cap ~$40-45B,medium,1,Standard Chartered,"Payments, Banking & Insurance",Middle East banking rival
1416,First Direct (HSBC),firstdirect.com,1k-5k,unknown (division of HSBC),n/a (public parent HSBC),unknown,low,1,Revolut,"Payments, Banking & Insurance",UK digital-first bank
1417,First Quantum Minerals,first-quantum.com,20k+,"~$2.2B (2023, reduced due to Cobre Panama shutdown)",n/a (public),mkt cap ~$8-10B CAD,medium,1,Ma'aden,"Energy, Industrial & Automotive",Copper miner
1418,Firstsource Solutions,firstsource.com,20k+,~$700M+ est.,"n/a (public, NSE/BSE listed)",mkt cap ~$2-3B,medium,1,Mphasis,"Cyber, IT & Hardware",BPO/IT services
1419,Fisher-Price (Mattel),fisher-price.com,20k+,"unknown (brand, parent Mattel)",n/a (public parent Mattel),unknown,low,1,LEGO Group,"Telecom, Media, Electronics & Gaming",Children's toy brand
1420,Five Guys,fiveguys.com,1k-5k,unknown (corporate; franchise system larger),n/a (private/family owned),unknown,low,1,McDonald's (Arcos Dorados),"Beverages, Food & CPG",US better-burger chain
1421,Five9,five9.com,1k-5k,~$955M (2023),n/a (public),mkt cap ~$2-3B,high,1,Genesys,"Cloud, Data & AI Software",cloud contact center rival
1422,Fiverr,fiverr.com,1k-5k,~$356M (2023),n/a (public),mkt cap ~$700M-1B,high,1,Airtasker,"Health, Betting & Services",Freelance gig marketplace
1423,Fleetio,fleetio.com,250-1k,unknown,~$95M+ raised,unknown,medium,1,Solera,"Cyber, IT & Hardware",fleet management software
1424,Flexential,flexential.com,1k-5k,unknown,n/a (private equity owned),unknown,medium,1,Core Scientific,"Cyber, IT & Hardware",data center/colocation
1425,Flexera (Snow Software),flexera.com,1k-5k,~$500M+ est.,"n/a (private equity owned, TA Associates/Ontario Teachers')",unknown,medium,1,NinjaOne,"Cyber, IT & Hardware",IT asset management
1426,Flow,onflow.org,250-1k,n/a (blockchain protocol),n/a (Dapper Labs backed),crypto mkt cap (varies),low,1,Hedera,"Crypto, Trading & Wealth",consumer-app focused L1
1427,Fluent,fluentco.com,250-1k,~$300M+ (declining),n/a (public),mkt cap ~$50-100M,medium,1,Rokt,"Telecom, Media, Electronics & Gaming",Performance marketing/transaction marketing
1428,Flutterwave,flutterwave.com,250-1k,unknown,~$475M raised,~$3B (2022 round),high,1,MoneyGram,"Payments, Banking & Insurance",Africa payments/remittance rival
1429,Focal,focal.com,250-1k,unknown,n/a (private/bootstrapped),unknown,low,1,Bang & Olufsen,"Luxury, Fashion & Beauty",French high-end audio brand
1430,FootJoy,footjoy.com,5k-20k,"unknown (brand, parent Acushnet Company)",n/a (public parent Acushnet),unknown,low,1,TravisMathew (Topgolf Callaway Brands),"Luxury, Fashion & Beauty",Golf apparel & footwear brand
1431,Formosa Plastics,fpg.com.tw,20k+,huge (~$20-30B+ group est.),"n/a (public, Taiwan listed conglomerate)",unknown,medium,1,INEOS,"Energy, Industrial & Automotive",Petrochemicals conglomerate
1432,Forsta (Confirmit),forsta.com,250-1k,unknown,n/a (private equity owned),unknown,low,1,Medallia,"Cloud, Data & AI Software",CX/survey platform rival
1433,Fortech,fortech.ro,250-1k,unknown,n/a (private/bootstrapped),unknown,low,1,RebelDot,"Cyber, IT & Hardware",software services (Romania)
1434,Fortescue,fortescue.com,5k-20k,~$17B (2023),n/a (public),mkt cap ~$50-60B AUD,high,1,Ma'aden,"Energy, Industrial & Automotive",Iron ore miner
1435,Fortune,fortune.com,250-1k,unknown,"n/a (private, owned since 2021)",unknown,low,1,Financial Times (Nikkei),"Telecom, Media, Electronics & Gaming",Business magazine/media
1436,Forvia (Faurecia),forvia.com,20k+,~€27B (2023),n/a (public),mkt cap ~€3-4B,high,1,Tenneco,"Energy, Industrial & Automotive",Automotive systems supplier
1437,Fox Business Network,foxbusiness.com,1k-5k,unknown (segment of Fox Corporation),n/a (public parent Fox Corp),unknown,low,1,CNBC (Comcast/NBCUniversal),"Telecom, Media, Electronics & Gaming",Business news TV
1438,Fox Factory,ridefox.com,1k-5k,~$1.4B (2023),n/a (public),mkt cap ~$2-3B,medium,1,Ohlins,"Energy, Industrial & Automotive",Performance suspension/dampers
1439,Franck Muller,franckmuller.com,250-1k,unknown,n/a (private/bootstrapped),unknown,low,1,Richard Mille,"Luxury, Fashion & Beauty",Independent avant-garde haute horlogerie
1440,Franklin Templeton,franklintempleton.com,5k-20k,~$7.6B (FY2023),n/a (public),mkt cap ~$10-12B,high,1,Nuveen (TIAA),"Payments, Banking & Insurance",Global asset management rival
1441,Franziskaner,franziskaner.com,unknown,unknown (brand of AB InBev),n/a (public parent AB InBev),unknown,low,1,Paulaner,"Beverages, Food & CPG",AB InBev Bavarian wheat beer
1442,Française des Jeux (FDJ),groupefdj.com,5k-20k,~€2.6B (2023),n/a (public),mkt cap ~€6-8B,high,1,Allwyn,"Health, Betting & Services",French national lottery operator
1443,Free Damm,damm.com,1k-5k,unknown (Damm group),n/a (private/family owned),unknown,low,1,"Estrella Galicia 0,0 (Hijos de Rivera)","Beverages, Food & CPG",Spanish non-alcoholic lager
1444,Free Fire (Garena/Sea Ltd),garena.com,20k+,"~$13B (2023, Sea Ltd total)",n/a (public),mkt cap ~$30-70B (fluctuates),medium,1,PUBG Mobile (Krafton),"Telecom, Media, Electronics & Gaming",Mobile battle royale rival
1445,Freeport-McMoRan,fcx.com,20k+,~$22.9B (2023),n/a (public),mkt cap ~$50-60B,high,1,Ma'aden,"Energy, Industrial & Automotive",Copper/gold miner
1446,Freixenet-Henkell,henkell-freixenet.com,1k-5k,~€1B+ est.,"n/a (private, Oetker Group)",unknown,low,1,Moet Hennessy (LVMH),"Beverages, Food & CPG",Global sparkling wine group
1447,Freshfields Bruckhaus Deringer,freshfields.com,5k-20k,~£2B+ turnover est.,n/a (private law partnership),unknown,medium,1,Ashurst,"Health, Betting & Services",Magic Circle law firm
1448,Fruit Shoot,fruitshoot.com,unknown,unknown (brand of Britvic/Carlsberg),n/a (public parent Britvic/Carlsberg),unknown,low,1,Rauch,"Beverages, Food & CPG",Britvic kids' juice drink brand
1449,fuboTV,fubo.tv,250-1k,~$1.6B (2023),n/a (public),mkt cap ~$300-500M,high,1,Paramount+ (Paramount Skydance),"Telecom, Media, Electronics & Gaming",Sports-focused live TV streaming
1450,Fujifilm Business Innovation,fujifilm.com,20k+,unknown (division of Fujifilm Holdings),n/a (public parent Fujifilm Holdings),unknown,low,1,Xerox,"Cyber, IT & Hardware",printers/document solutions
1451,Fujikura,fujikura.com,20k+,~¥900B+ / ~$6B est.,"n/a (public, Tokyo listed)",mkt cap several billion USD,medium,1,CommScope,"Cyber, IT & Hardware",fiber optic connectivity
1452,Funko,funko.com,1k-5k,~$1.1B (2023),n/a (public),mkt cap ~$300-500M,high,1,LEGO Group,"Telecom, Media, Electronics & Gaming",Collectible figure maker
1453,Furukawa Electric,furukawa.co.jp,20k+,~¥1T / ~$7B est.,"n/a (public, Tokyo listed)",unknown,medium,1,CommScope,"Cyber, IT & Hardware",fiber/cabling
1454,Future Electronics,futureelectronics.com,5k-20k,~$4-5B est. (private),n/a (private/founder owned),unknown,low,1,Arrow Electronics,"Cyber, IT & Hardware",electronic components distribution
1455,FutureLearn,futurelearn.com,250-1k,unknown,"n/a (private, Global University Systems owned)",unknown,low,1,Udemy,"Health, Betting & Services",Online learning platform
1456,G DATA CyberDefense,gdata.de,250-1k,unknown,n/a (private/bootstrapped),unknown,low,1,Bitdefender,"Cyber, IT & Hardware",endpoint AV
1457,Gametime,gametime.co,250-1k,unknown,~$276M raised,~$1.5B (2022 round),medium,1,viagogo (StubHub Holdings),"Telecom, Media, Electronics & Gaming",Last-minute ticket resale app
1458,GAP,gap.com,20k+,~$14.9B (FY2023),n/a (public),mkt cap ~$7-10B,high,1,Tommy Hilfiger (PVH Corp),"Luxury, Fashion & Beauty",American mass-premium casualwear brand
1459,Garofalo,pasta-garofalo.com,250-1k,unknown,n/a (private/family owned),unknown,low,1,Barilla,"Beverages, Food & CPG",Gragnano IGP pasta maker
1460,Garuda Indonesia,garuda-indonesia.com,1k-5k,unknown (post-restructuring),"n/a (public, majority state owned)",unknown,low,1,Singapore Airlines,"Travel, Logistics & Property",Regional flag carrier
1461,Gazprom Neft,gazprom-neft.com,20k+,"huge (RUB billions, 2023)","n/a (public, Gazprom subsidiary, sanctioned)",unknown,medium,1,Aramco,"Energy, Industrial & Automotive",Russian oil co
1462,GE Current,gecurrent.com,1k-5k,unknown,"n/a (private, American Industrial Partners owned since 2020)",unknown,low,1,Signify,"Energy, Industrial & Automotive",Commercial LED lighting
1463,GE HealthCare,gehealthcare.com,20k+,~$19.6B (2023),"n/a (public, spun off 2023)",mkt cap ~$35-40B,high,1,Philips,"Energy, Industrial & Automotive",Medical devices/imaging major
1464,Generac Mobile,generac.com,5k-20k,unknown (division; parent Generac Holdings ~$4B),n/a (public parent Generac Holdings),unknown,low,1,Aggreko,"Energy, Industrial & Automotive",Mobile generators
1465,Generali (Assicurazioni Generali),generali.com,20k+,~€82B premiums (2023),n/a (public),mkt cap ~€30-35B,high,1,Allianz,"Payments, Banking & Insurance",European insurer/asset manager rival
1466,Genesis (Hyundai),genesis.com,unknown,unknown (brand of Hyundai Motor Group),n/a (public parent Hyundai),unknown,low,1,Audi (Volkswagen Group),"Energy, Industrial & Automotive",Luxury automaker
1467,Genshin Impact (HoYoverse),hoyoverse.com,1k-5k,billions annually (game revenue est.),"n/a (private, miHoYo/HoYoverse)",reported ~$20B+ (private est.),low,1,PUBG Mobile (Krafton),"Telecom, Media, Electronics & Gaming",Mobile/cross-platform gacha RPG rival for attention/spend
1468,Gerber Collision & Glass,gerbercollision.com,20k+,unknown (brand of Boyd Group Services),"n/a (public parent Boyd Group, TSX)",unknown,low,1,Fix Network,"Travel, Logistics & Property",Collision repair franchise network rival
1469,Gerber Gear,gerbergear.com,unknown,unknown (brand of Fiskars Group),n/a (public parent Fiskars),unknown,low,1,The James Brand,"Luxury, Fashion & Beauty",American outdoor/EDC knife brand
1470,Gerolsteiner,gerolsteiner.de,250-1k,unknown,n/a (private/family owned),unknown,low,1,S.Pellegrino (Nestle),"Beverages, Food & CPG",German premium sparkling mineral water
1471,GetYourGuide,getyourguide.com,1k-5k,unknown,~$900M+ raised (incl. debt),~$2B (2022 round),medium,1,Fever,"Telecom, Media, Electronics & Gaming",Tours/experiences platform
1472,Giant Bicycles,giant-bicycles.com,5k-20k,~$1.5-2B est.,"n/a (public, Taiwan listed)",mkt cap ~$1-2B,medium,1,Specialized,"Telecom, Media, Electronics & Gaming",Global bicycle maker
1473,Gibson Dunn,gibsondunn.com,1k-5k,~$2.5B+ (Am Law est.),n/a (private law partnership),unknown,medium,1,Morrison Foerster,"Health, Betting & Services",Global law firm
1474,Giesecke+Devrient,gi-de.com,5k-20k,~€2.5B+ est.,n/a (private/family owned),unknown,medium,1,SEALSQ,"Cyber, IT & Hardware",secure identity/payment technology
1475,GitLab,gitlab.com,1k-5k,~$580M (FY2024),n/a (public),mkt cap ~$7-8B,high,1,Atlassian,"Cloud, Data & AI Software",DevOps platform rival
1476,Givenchy,givenchy.com,1k-5k,unknown (brand of LVMH),n/a (public parent LVMH),unknown,low,1,Louis Vuitton (LVMH),"Luxury, Fashion & Beauty",LVMH luxury fashion
1477,Glean,glean.com,250-1k,unknown,~$600M+ raised,~$4.6B (2024 round),medium,1,Airia,"Cloud, Data & AI Software",enterprise AI search/agent rival
1478,Glencore,glencore.com,20k+,~$217B (2023),n/a (public),mkt cap ~£50-60B,high,1,Ma'aden,"Energy, Industrial & Automotive",Mining/commodities major
1479,Glidden (PPG),glidden.com,unknown,unknown (brand of PPG Industries),n/a (public parent PPG),unknown,low,1,Sherwin-Williams,"Energy, Industrial & Automotive",US retail paint brand
1480,Global Entry (CBP),cbp.gov,unknown,n/a (US government program),n/a (government),unknown,low,1,CLEAR,"Health, Betting & Services",Expedited border/travel program
1481,Global Poker,globalpoker.com,250-1k,unknown,"n/a (private, VGW Holdings owned)",unknown,low,1,Modo Casino,"Health, Betting & Services",US sweepstakes poker
1482,GlobalFoundries,gf.com,5k-20k,~$7.4B (2023),n/a (public),mkt cap ~$20-25B,high,1,AMD,"Cyber, IT & Hardware",semiconductor foundry
1483,GMV Innovating Solutions,gmv.com,1k-5k,~€400M+ est.,n/a (private/bootstrapped),unknown,low,1,IndraMind (Indra Sistemas),"Cyber, IT & Hardware",aerospace/defense/digital tech
1484,Golden Nugget Online Casino,goldennuggetcasino.com,250-1k,unknown,n/a (public),"n/a (acquired by DraftKings 2022, ~$1.56B stock deal)",medium,1,JackpotCity Casino,"Health, Betting & Services",US online casino
1485,Goldwell,goldwell.com,unknown,unknown,n/a (public - Kao Corp subsidiary),unknown,low,1,Wella Company,"Beverages, Food & CPG",Kao Corporation professional hair care brand
1486,Golub Capital,golubcapital.com,250-1k,"unknown (private, AUM ~$65B)",n/a (private/bootstrapped),unknown,medium,1,ZCG,"Payments, Banking & Insurance",Middle-market private credit rival
1487,Gorgias,gorgias.com,250-1k,"unknown (est. ARR $60-80M, 2024)","$78M+ raised (Series C, 2022)",~$710M (2022),medium,1,Freshworks,"Cloud, Data & AI Software",e-commerce helpdesk rival
1488,GP Batteries,gpbatteries.com,1k-5k,unknown (few hundred $M),n/a (public - SGX listed),unknown,medium,1,Duracell (Berkshire Hathaway),"Telecom, Media, Electronics & Gaming",Consumer battery maker
1489,Grand Theft Auto Online (Rockstar/Take-Two),rockstargames.com,1k-5k,"$5.35B (Take-Two FY2024, parent)",n/a (public - Take-Two),unknown,medium,1,PUBG Mobile (Krafton),"Telecom, Media, Electronics & Gaming",Take-Two open-world multiplayer
1490,Grant Thornton,grantthornton.com,20k+,"~$7.5B (network, 2023)",n/a (private/partnership),unknown,medium,1,PwC,"Health, Betting & Services",Mid-tier audit/advisory
1491,Grant's,grantswhisky.com,1k-5k,"~£1.8B (William Grant & Sons, parent)",n/a (private/bootstrapped),unknown,low,1,Chivas Regal (Pernod Ricard),"Beverages, Food & CPG",William Grant & Sons blended Scotch
1492,Grass Valley,grassvalley.com,250-1k,unknown (est. $300-400M),n/a (private/bootstrapped),unknown,low,1,Riedel,"Telecom, Media, Electronics & Gaming",Broadcast production equipment
1493,Greenhouse Software,greenhouse.io,250-1k,unknown,"$110M+ raised, then TPG (2021)/Carlyle (2024) investment","~$1B+ (est., 2021/2024)",medium,1,Avature,"Cloud, Data & AI Software",recruiting platform rival
1494,Greenlight,greenlight.com,250-1k,unknown,"$556M+ raised (Series D, 2021)",$2.3B (2021),medium,1,Endstate,"Crypto, Trading & Wealth",family finance app
1495,Grey Goose,greygoose.com,5k-20k,unknown (brand within Bacardi),n/a (private/bootstrapped - Bacardi family owned),unknown,medium,1,NEFT Vodka,"Beverages, Food & CPG",Bacardi premium vodka
1496,Groupon,groupon.com,1k-5k,"~$500M (2023, declining)",n/a (public - NASDAQ: GRPN),market cap ~$100-300M,medium,1,Fever,"Telecom, Media, Electronics & Gaming",Local deals/experiences platform
