brand,domain,already_in_f1,num_f1_rivals,f1_sponsors_it_competes_with,categories,note
EFG International,efginternational.com,,1,UBS,"Payments, Banking & Insurance",Swiss private banking rival
Egnyte,egnyte.com,,1,Dropbox,"Cloud, Data & AI Software",cloud content platform rival
Egypt Tourism Authority,egypt.travel,,1,Visit Qatar (Qatar Tourism),"Travel, Logistics & Property",Regional tourism authority rival
EgyptAir,egyptair.com,,1,Gulf Air,"Travel, Logistics & Property",Regional flag carrier
Einhell,einhell.com,YES,1,DeWalt (Stanley Black & Decker),"Energy, Industrial & Automotive",Mercedes partner
Ekrin Athletics,ekrinathletics.com,,1,Therabody,"Health, Betting & Services",Percussion massage devices
El Pollo Loco,elpolloloco.com,,1,McDonald's (Arcos Dorados),"Beverages, Food & CPG",US grilled chicken QSR chain
Elbit Systems,elbitsystems.com,,1,IndraMind (Indra Sistemas),"Cyber, IT & Hardware",defense technology
Electric AI,electric.ai,,1,NinjaOne,"Cyber, IT & Hardware",IT management platform
Electrolux,electroluxgroup.com,,1,Philips,"Energy, Industrial & Automotive",Home appliances
Eleiko,eleiko.com,,1,Technogym,"Telecom, Media, Electronics & Gaming",Strength training equipment maker
Element Fleet Management,elementfleet.com,,1,Solera,"Cyber, IT & Hardware",fleet management software
Ellington Properties,ellingtonproperties.ae,,1,DAMAC Properties,"Travel, Logistics & Property",Dubai boutique luxury developer
Elliott Management,elliottmgmt.com,,1,ZCG,"Payments, Banking & Insurance",Multi-strategy hedge fund/credit rival
Elysium Health,elysiumhealth.com,,1,HMN24,"Beverages, Food & CPG",US longevity supplement brand
Emaar Properties,emaar.com,,1,DAMAC Properties,"Travel, Logistics & Property",Dubai's largest developer
eMemory Technology,ememory.com.tw,,1,SEALSQ,"Cyber, IT & Hardware",embedded secure memory IP
Emirates NBD,emiratesnbd.com,,1,Standard Chartered,"Payments, Banking & Insurance",Middle East banking rival
Emirates SkyCargo,skycargo.com,,1,Atlas Air,"Travel, Logistics & Property",Air cargo carrier rival
Emma Sleep,emma-sleep.com,,1,Eight Sleep,"Health, Betting & Services",DTC mattress brand (EU)
Emperador Inc.,emperadorinc.com,,1,Moet Hennessy (LVMH),"Beverages, Food & CPG",Filipino brandy/whisky group (Whyte & Mackay)
Employee Navigator,employeenavigator.com,,1,Businessolver,"Payments, Banking & Insurance",Benefits administration platform rival
Emporio Armani,armani.com,,1,Hugo Boss (BOSS / HUGO / Hugo Eyewear),"Luxury, Fashion & Beauty",Italian premium fashion brand
Empower,empower.me,,1,Endstate,"Crypto, Trading & Wealth",cash advance/finance app
Empyrean Benefit Solutions,goempyrean.com,,1,Businessolver,"Payments, Banking & Insurance",Benefits administration platform rival
Emsisoft,emsisoft.com,,1,Bitdefender,"Cyber, IT & Hardware",endpoint AV
enCore Energy,encoreuranium.com,,1,NexGen,"Energy, Industrial & Automotive",US ISR uranium producer
Energizer (parent of Armor All),energizer.com,YES,1,mophie (ZAGG),"Telecom, Media, Electronics & Gaming",Red Bull Racing partner via Armor All; also power banks
Energizer Holdings,energizerholdings.com,YES,1,Duracell (Berkshire Hathaway),"Telecom, Media, Electronics & Gaming","Owns Armor All, Red Bull Racing partner"
Energy Fuels,energyfuels.com,,1,NexGen,"Energy, Industrial & Automotive",US uranium/rare earths
Engel Coolers,engelcoolers.com,,1,Yeti,"Luxury, Fashion & Beauty",Premium cooler brand
Enkei,enkei.com,,1,BBS Wheels,"Energy, Industrial & Automotive",Performance/OEM wheels
Entel,entel.cl,,1,Claro / Telcel (America Movil),"Telecom, Media, Electronics & Gaming",Chile/Peru carrier
EOS,eosnetwork.com,,1,Hedera,"Crypto, Trading & Wealth",enterprise smart-contract L1
EPFL,epfl.ch,,1,KAUST,"Health, Betting & Services",STEM research university
ePlus Inc,eplus.com,,1,Arrow Electronics,"Cyber, IT & Hardware",IT solutions/distribution
Epsilon Telecommunications,epsilontel.com,,1,Tata Communications,"Telecom, Media, Electronics & Gaming",Global connectivity marketplace
EQT AB,eqtgroup.com,,1,Carlyle,"Payments, Banking & Insurance",European private equity rival
Erin Snow,erinsnow.com,,1,Perfect Moment,"Luxury, Fashion & Beauty",Luxury skiwear brand
Ermenegildo Zegna,zegna.com,,1,Hugo Boss (BOSS / HUGO / Hugo Eyewear),"Luxury, Fashion & Beauty",Italian luxury menswear house
Errea,errea.com,,1,Castore,"Luxury, Fashion & Beauty",Italian teamwear brand
ESI Group,esi-group.com,,1,Ansys (Synopsys),"Cloud, Data & AI Software",virtual prototyping rival
Esperanto Technologies,esperanto.ai,,1,Arm (SoftBank Group),"Cyber, IT & Hardware",RISC-V AI chips
ESPN Bet (Penn Entertainment),espnbet.com,,1,FanDuel (Flutter Entertainment),"Health, Betting & Services",US sportsbook
ESPN+ (Disney),espn.com,,1,Paramount+ (Paramount Skydance),"Telecom, Media, Electronics & Gaming",Sports streaming service
Espressif Systems,espressif.com,,1,Snapdragon (Qualcomm),"Cyber, IT & Hardware",IoT wireless SoCs
ESR,esrgear.com,,1,Mous,"Luxury, Fashion & Beauty",Protective phone case & accessories brand
Essilor,essilor.com,YES,1,Shamir Optical,"Luxury, Fashion & Beauty",F1 sponsor via parent EssilorLuxottica (Ray-Ban/Oakley); leading lens manufacturer
EssilorLuxottica,essilorluxottica.com,YES,1,LVMH,"Luxury, Fashion & Beauty",Owns Ray-Ban & Oakley (F1 sponsors)
Estee Lauder,esteelauder.com,,1,Charlotte Tilbury (Puig),"Luxury, Fashion & Beauty",Prestige color cosmetics & skincare brand
Estee Lauder Companies,elcompanies.com,,1,LVMH,"Luxury, Fashion & Beauty",Prestige beauty conglomerate
ETB,etb.com.co,,1,Claro / Telcel (America Movil),"Telecom, Media, Electronics & Gaming",Colombia carrier
ETH Zurich,ethz.ch,,1,KAUST,"Health, Betting & Services",STEM research university
Ethena Labs,ethena.fi,,1,Circle,"Crypto, Trading & Wealth",synthetic dollar (USDe)
Etihad Cargo,etihadcargo.com,YES,1,Atlas Air,"Travel, Logistics & Property",Abu Dhabi GP title; air cargo rival
Euroclear,euroclear.com,,1,BNY,"Payments, Banking & Insurance",Post-trade settlement/custody rival
Eurogate,eurogate.de,,1,DP World,"Travel, Logistics & Property",European container terminal operator
Euronext,euronext.com,,1,Nasdaq,"Crypto, Trading & Wealth",pan-European exchange operator
Eventbrite,eventbrite.com,,1,Fever,"Telecom, Media, Electronics & Gaming",Events discovery/ticketing
Eveready,eveready.com,,1,Duracell (Berkshire Hathaway),"Telecom, Media, Electronics & Gaming",Consumer battery brand
EVS Broadcast Equipment,evs.com,,1,Riedel,"Telecom, Media, Electronics & Gaming",Live broadcast production systems
Exabeam,exabeam.com,,1,Splunk (Cisco),"Cloud, Data & AI Software",SIEM/UEBA rival
Excel Sports Management,excelsm.com,,1,Juss Sports (Juss Group),"Health, Betting & Services",Sports management agency
Exclusive Networks,exclusive-networks.com,,1,Arrow Electronics,"Cyber, IT & Hardware",cybersecurity/networking distribution
Exotel,exotel.com,,1,Infobip,"Telecom, Media, Electronics & Gaming",CPaaS platform
Expleo,expleo.com,,1,Akkodis (Adecco Group),"Cyber, IT & Hardware",engineering & quality consulting
Ezra Coaching,helloezra.com,,1,BetterUp,"Health, Betting & Services",1:1 executive coaching
F.P. Journe,fpjourne.com,,1,H. Moser & Cie,"Luxury, Fashion & Beauty",Independent haute horlogerie
F3 Uranium,f3uranium.com,,1,NexGen,"Energy, Industrial & Automotive",Athabasca Basin explorer
Fab,fablaundry.com,,1,Dirt is Good / OMO (Unilever),"Beverages, Food & CPG",Phoenix Brands laundry detergent
Facebook (Meta),facebook.com,YES,1,TikTok (ByteDance),"Telecom, Media, Electronics & Gaming","Meta, Mercedes partner"
Facebook Messenger (Meta),messenger.com,YES,1,WhatsApp (Meta),"Telecom, Media, Electronics & Gaming",Sister Meta product; Mercedes partner
Fagerhult,fagerhultgroup.com,,1,Signify,"Energy, Industrial & Automotive",Nordic professional lighting
Fagioli,fagioli.com,,1,Mammoet,"Energy, Industrial & Automotive",Heavy lifting/transport
Famous Grouse,famousgrouse.com,,1,Chivas Regal (Pernod Ricard),"Beverages, Food & CPG",Edrington blended Scotch
Fanatec (Corsair),fanatec.com,YES,1,Trak Racer,"Telecom, Media, Electronics & Gaming",F1 Sim Racing official sponsor; also sells rigs/bundles
Fanatics Sportsbook,fanatics.com,,1,FanDuel (Flutter Entertainment),"Health, Betting & Services",US sportsbook
Fanola,fanola.com,,1,Wella Company,"Beverages, Food & CPG",Italian professional hair care brand
Farmers Insurance Group,farmers.com,,1,Orion180,"Payments, Banking & Insurance",National homeowners insurer rival
Farouk Systems (CHI),chihaircare.com,,1,Wella Company,"Beverages, Food & CPG",US professional hair care brand
Farrow & Ball,farrow-ball.com,,1,Sherwin-Williams,"Energy, Industrial & Automotive",UK premium paint brand
Fastly,fastly.com,,1,AWS (Amazon),"Cloud, Data & AI Software",edge cloud challenger
FAW,faw.com,,1,Iveco,"Energy, Industrial & Automotive",Chinese commercial truck major
Felt Bicycles,feltbicycles.com,,1,Specialized,"Telecom, Media, Electronics & Gaming",Performance bicycle maker
Fendi,fendi.com,,1,Louis Vuitton (LVMH),"Luxury, Fashion & Beauty",LVMH luxury leather goods
Fenty Beauty,fentybeauty.com,,1,Charlotte Tilbury (Puig),"Luxury, Fashion & Beauty",LVMH prestige makeup brand
Fenwick & West,fenwick.com,,1,Morrison Foerster,"Health, Betting & Services",Tech-focused law firm
Ferrarelle,ferrarelle.it,,1,S.Pellegrino (Nestle),"Beverages, Food & CPG",Italian premium sparkling water
Ferrari,ferrari.com,,1,Aston Martin Lagonda,"Energy, Industrial & Automotive",Luxury sports car maker/F1 works team
Fever,feverup.com,YES,1,viagogo (StubHub Holdings),"Telecom, Media, Electronics & Gaming",F1 official provider (F1 Exhibition)
Filecoin,filecoin.io,,1,BlockDAG,"Crypto, Trading & Wealth",decentralized storage network
Financial Times,ft.com,YES,1,CNBC (Comcast/NBCUniversal),"Telecom, Media, Electronics & Gaming",Aston Martin partner
Finlandia,finlandia.com,YES,1,NEFT Vodka,"Beverages, Food & CPG",Brown-Forman vodka; Jack Daniel's owner is McLaren partner
Finnair,finnair.com,,1,Singapore Airlines,"Travel, Logistics & Property",Europe-Asia connector carrier
Fireblocks,fireblocks.com,,1,Circle,"Crypto, Trading & Wealth",digital asset custody/infrastructure
First Abu Dhabi Bank,bankfab.com,,1,Standard Chartered,"Payments, Banking & Insurance",Middle East banking rival
First Digital Labs,firstdigitallabs.com,,1,Circle,"Crypto, Trading & Wealth",issues FDUSD stablecoin
First Direct (HSBC),firstdirect.com,,1,Revolut,"Payments, Banking & Insurance",UK digital-first bank
First Protective Insurance,firstprotective.com,,1,Orion180,"Payments, Banking & Insurance",Coastal homeowners insurer rival
First Quantum Minerals,first-quantum.com,,1,Ma'aden,"Energy, Industrial & Automotive",Copper miner
Firstsource Solutions,firstsource.com,,1,Mphasis,"Cyber, IT & Hardware",BPO/IT services
Fisher-Price (Mattel),fisher-price.com,,1,LEGO Group,"Telecom, Media, Electronics & Gaming",Children's toy brand
Five Guys,fiveguys.com,,1,McDonald's (Arcos Dorados),"Beverages, Food & CPG",US better-burger chain
Five9,five9.com,,1,Genesys,"Cloud, Data & AI Software",cloud contact center rival
Fiverr,fiverr.com,,1,Airtasker,"Health, Betting & Services",Freelance gig marketplace
Fleetio,fleetio.com,,1,Solera,"Cyber, IT & Hardware",fleet management software
Flensburger,flens.de,,1,Paulaner,"Beverages, Food & CPG",Northern German independent brewer
Flexa,flexa.network,,1,CoinPayments,"Crypto, Trading & Wealth",crypto retail payments network
Flexential,flexential.com,,1,Core Scientific,"Cyber, IT & Hardware",data center/colocation
Flexera (Snow Software),flexera.com,,1,NinjaOne,"Cyber, IT & Hardware",IT asset management
Flexfit,flexfit.com,,1,New Era,"Luxury, Fashion & Beauty",Fitted-cap headwear brand
Flock (Flock Benefits),meetflock.com,,1,Businessolver,"Payments, Banking & Insurance",Group benefits platform rival
Florida Peninsula Insurance,floridapeninsula.com,,1,Orion180,"Payments, Banking & Insurance",Florida homeowners insurer rival
Flow,onflow.org,,1,Hedera,"Crypto, Trading & Wealth",consumer-app focused L1
Fluent,fluentco.com,,1,Rokt,"Telecom, Media, Electronics & Gaming",Performance marketing/transaction marketing
Fluidstack,fluidstack.io,,1,CoreWeave,"Cyber, IT & Hardware",GPU cloud compute
Flutterwave,flutterwave.com,,1,MoneyGram,"Payments, Banking & Insurance",Africa payments/remittance rival
Focal,focal.com,,1,Bang & Olufsen,"Luxury, Fashion & Beauty",French high-end audio brand
Focus Bikes,focus-bikes.com,,1,Specialized,"Telecom, Media, Electronics & Gaming",Bicycle maker
Fold,foldapp.com,,1,Endstate,"Crypto, Trading & Wealth",bitcoin rewards/cashback app
Fondmetal,fondmetal.it,,1,BBS Wheels,"Energy, Industrial & Automotive",Motorsport/performance wheels
FootJoy,footjoy.com,,1,TravisMathew (Topgolf Callaway Brands),"Luxury, Fashion & Beauty",Golf apparel & footwear brand
Formosa Plastics,fpg.com.tw,,1,INEOS,"Energy, Industrial & Automotive",Petrochemicals conglomerate
Forsta (Confirmit),forsta.com,,1,Medallia,"Cloud, Data & AI Software",CX/survey platform rival
Forsys Metals,forsysmetals.com,,1,NexGen,"Energy, Industrial & Automotive",Uranium developer (Namibia)
Fortech,fortech.ro,,1,RebelDot,"Cyber, IT & Hardware",software services (Romania)
Fortescue,fortescue.com,,1,Ma'aden,"Energy, Industrial & Automotive",Iron ore miner
Fortis,fortis-watches.com,,1,Breitling,"Luxury, Fashion & Beauty",Swiss aviation tool-watch specialist
Fortune,fortune.com,,1,Financial Times (Nikkei),"Telecom, Media, Electronics & Gaming",Business magazine/media
Fortune Coins,fortunecoins.com,,1,Modo Casino,"Health, Betting & Services",US sweepstakes casino
Forvia (Faurecia),forvia.com,,1,Tenneco,"Energy, Industrial & Automotive",Automotive systems supplier
Four Sigmatic,foursigmatic.com,,1,Beforeyouspeak Coffee,"Beverages, Food & CPG",US mushroom-infused functional coffee brand
Fox Business Network,foxbusiness.com,,1,CNBC (Comcast/NBCUniversal),"Telecom, Media, Electronics & Gaming",Business news TV
Fox Factory,ridefox.com,,1,Ohlins,"Energy, Industrial & Automotive",Performance suspension/dampers
Franck Muller,franckmuller.com,,1,Richard Mille,"Luxury, Fashion & Beauty",Independent avant-garde haute horlogerie
Franklin Templeton,franklintempleton.com,,1,Nuveen (TIAA),"Payments, Banking & Insurance",Global asset management rival
Franziskaner,franziskaner.com,,1,Paulaner,"Beverages, Food & CPG",AB InBev Bavarian wheat beer
Française des Jeux (FDJ),groupefdj.com,,1,Allwyn,"Health, Betting & Services",French national lottery operator
Frax Finance,frax.finance,,1,Circle,"Crypto, Trading & Wealth",algorithmic/fractional stablecoin
Fre,freenicotinepouches.com,,1,ZYN (Philip Morris International),"Beverages, Food & CPG",Turning Point Brands nicotine pouches
Free Damm,damm.com,,1,"Estrella Galicia 0,0 (Hijos de Rivera)","Beverages, Food & CPG",Spanish non-alcoholic lager
Free Fire (Garena/Sea Ltd),garena.com,,1,PUBG Mobile (Krafton),"Telecom, Media, Electronics & Gaming",Mobile battle royale rival
Freelancer.com,freelancer.com,,1,Airtasker,"Health, Betting & Services",Freelance gig marketplace
Freeport-McMoRan,fcx.com,,1,Ma'aden,"Energy, Industrial & Automotive",Copper/gold miner
Freetrade,freetrade.io,,1,Public.com,"Crypto, Trading & Wealth",UK commission-free trading app
Freixenet-Henkell,henkell-freixenet.com,,1,Moet Hennessy (LVMH),"Beverages, Food & CPG",Global sparkling wine group
Freshfields Bruckhaus Deringer,freshfields.com,,1,Ashurst,"Health, Betting & Services",Magic Circle law firm
Freshii,freshii.com,,1,Oakberry,"Beverages, Food & CPG",Canadian healthy fast-casual chain
Frontegg,frontegg.com,,1,Okta,"Cyber, IT & Hardware",customer identity platform
Fruit Shoot,fruitshoot.com,,1,Rauch,"Beverages, Food & CPG",Britvic kids' juice drink brand
Frutta Bowls,fruttabowls.com,,1,Oakberry,"Beverages, Food & CPG",US acai/smoothie bowl chain
fuboTV,fubo.tv,,1,Paramount+ (Paramount Skydance),"Telecom, Media, Electronics & Gaming",Sports-focused live TV streaming
Fujifilm Business Innovation,fujifilm.com,,1,Xerox,"Cyber, IT & Hardware",printers/document solutions
Fujikura,fujikura.com,,1,CommScope,"Cyber, IT & Hardware",fiber optic connectivity
Funko,funko.com,,1,LEGO Group,"Telecom, Media, Electronics & Gaming",Collectible figure maker
Funzpoints,funzpoints.com,,1,Modo Casino,"Health, Betting & Services",US sweepstakes casino
Furukawa Electric,furukawa.co.jp,,1,CommScope,"Cyber, IT & Hardware",fiber/cabling
Fusalp,fusalp.com,,1,Perfect Moment,"Luxury, Fashion & Beauty",French luxury skiwear brand
Future Electronics,futureelectronics.com,,1,Arrow Electronics,"Cyber, IT & Hardware",electronic components distribution
FutureLearn,futurelearn.com,,1,Udemy,"Health, Betting & Services",Online learning platform
G DATA CyberDefense,gdata.de,,1,Bitdefender,"Cyber, IT & Hardware",endpoint AV
G/FORE,gfore.com,,1,TravisMathew (Topgolf Callaway Brands),"Luxury, Fashion & Beauty",Premium golf lifestyle apparel brand
G42,g42ai.com,YES,1,TWG Motorsports / TWG AI (TWG Global),"Cloud, Data & AI Software",diversified AI holding rival
Gain,gain.com,YES,1,Dirt is Good / OMO (Unilever),"Beverages, Food & CPG",P&G laundry brand; P&G is F1 (Audi) sponsor via Gillette
Gamdom,gamdom.com,,1,Stake (departing but budget-holder),"Health, Betting & Services",Crypto casino
Gametime,gametime.co,,1,viagogo (StubHub Holdings),"Telecom, Media, Electronics & Gaming",Last-minute ticket resale app
GAP,gap.com,,1,Tommy Hilfiger (PVH Corp),"Luxury, Fashion & Beauty",American mass-premium casualwear brand
Garden of Life,gardenoflife.com,YES,1,Optimum Nutrition (Glanbia),"Beverages, Food & CPG",Nestle Health Science-owned nutrition brand
Garofalo,pasta-garofalo.com,,1,Barilla,"Beverages, Food & CPG",Gragnano IGP pasta maker
Garuda Indonesia,garuda-indonesia.com,,1,Singapore Airlines,"Travel, Logistics & Property",Regional flag carrier
Gazprom Neft,gazprom-neft.com,,1,Aramco,"Energy, Industrial & Automotive",Russian oil co
GE Current,gecurrent.com,,1,Signify,"Energy, Industrial & Automotive",Commercial LED lighting
GE HealthCare,gehealthcare.com,,1,Philips,"Energy, Industrial & Automotive",Medical devices/imaging major
Generac Mobile,generac.com,,1,Aggreko,"Energy, Industrial & Automotive",Mobile generators
Generali (Assicurazioni Generali),generali.com,,1,Allianz,"Payments, Banking & Insurance",European insurer/asset manager rival
Genesis (Hyundai),genesis.com,,1,Audi (Volkswagen Group),"Energy, Industrial & Automotive",Luxury automaker
Genesis Casino,genesiscasino.com,,1,JackpotCity Casino,"Health, Betting & Services",Online casino
Genius Brand,thegeniusbrand.com,,1,HMN24,"Beverages, Food & CPG",US nootropic supplement brand
Genius Coffee,geniuscoffeeco.com,,1,Beforeyouspeak Coffee,"Beverages, Food & CPG",US nootropic coffee brand
Genshin Impact (HoYoverse),hoyoverse.com,,1,PUBG Mobile (Krafton),"Telecom, Media, Electronics & Gaming",Mobile/cross-platform gacha RPG rival for attention/spend
Gerber Collision & Glass,gerbercollision.com,,1,Fix Network,"Travel, Logistics & Property",Collision repair franchise network rival
Gerber Gear,gerbergear.com,,1,The James Brand,"Luxury, Fashion & Beauty",American outdoor/EDC knife brand
Gerolsteiner,gerolsteiner.de,,1,S.Pellegrino (Nestle),"Beverages, Food & CPG",German premium sparkling mineral water
GetYourGuide,getyourguide.com,,1,Fever,"Telecom, Media, Electronics & Gaming",Tours/experiences platform
Ghostbed,ghostbed.com,,1,Eight Sleep,"Health, Betting & Services",DTC mattress brand
Gia Russa,giarussa.com,,1,Barilla,"Beverages, Food & CPG",US Italian-style pasta/sauce brand
Giant Bicycles,giant-bicycles.com,,1,Specialized,"Telecom, Media, Electronics & Gaming",Global bicycle maker
Gibson Dunn,gibsondunn.com,,1,Morrison Foerster,"Health, Betting & Services",Global law firm
Giesecke+Devrient,gi-de.com,,1,SEALSQ,"Cyber, IT & Hardware",secure identity/payment technology
Gigwalk,gigwalk.com,,1,Airtasker,"Health, Betting & Services",On-demand task workforce
Gillette,gillette.com,YES,1,Wilkinson Sword (Edgewell),"Beverages, Food & CPG",P&G razor leader; Audi F1 partner
Girodisc,girodisc.com,,1,Brembo,"Energy, Industrial & Automotive",Performance brake rotors
GitLab,gitlab.com,,1,Atlassian,"Cloud, Data & AI Software",DevOps platform rival
Givenchy,givenchy.com,,1,Louis Vuitton (LVMH),"Luxury, Fashion & Beauty",LVMH luxury fashion
Glean,glean.com,,1,Airia,"Cloud, Data & AI Software",enterprise AI search/agent rival
Glencore,glencore.com,,1,Ma'aden,"Energy, Industrial & Automotive",Mining/commodities major
Glenfarclas,glenfarclas.com,,1,Glenfiddich (William Grant & Sons),"Beverages, Food & CPG",Family-owned single malt Scotch
Glenfiddich,glenfiddich.com,YES,1,Chivas Regal (Pernod Ricard),"Beverages, Food & CPG",William Grant & Sons; Aston Martin partner
Glenmorangie,glenmorangie.com,YES,1,Glenfiddich (William Grant & Sons),"Beverages, Food & CPG",LVMH single malt Scotch; LVMH is F1 global partner
Glidden (PPG),glidden.com,,1,Sherwin-Williams,"Energy, Industrial & Automotive",US retail paint brand
Global Atomic,globalatomiccorp.com,,1,NexGen,"Energy, Industrial & Automotive",Uranium developer (Niger)
Global Entry (CBP),cbp.gov,,1,CLEAR,"Health, Betting & Services",Expedited border/travel program
Global Poker,globalpoker.com,,1,Modo Casino,"Health, Betting & Services",US sweepstakes poker
GlobalFoundries,gf.com,,1,AMD,"Cyber, IT & Hardware",semiconductor foundry
GlobalSign (GMO Internet),globalsign.com,,1,SEALSQ,"Cyber, IT & Hardware",PKI/digital certificate security
Globe-Trotter,globe-trotter.com,,1,TUMI (Samsonite),"Luxury, Fashion & Beauty",British heritage luggage brand
GM Financial,gmfinancial.com,YES,1,Mobilize Financial Services (Renault Group),"Payments, Banking & Insurance",Captive auto-finance rival; GM/Cadillac is works team owner
GMV Innovating Solutions,gmv.com,,1,IndraMind (Indra Sistemas),"Cyber, IT & Hardware",aerospace/defense/digital tech
Go Turkiye (Turkey Tourism),goturkiye.com,,1,Visit Qatar (Qatar Tourism),"Travel, Logistics & Property",National tourism board rival
GoCoin,gocoin.com,,1,CoinPayments,"Crypto, Trading & Wealth",crypto payment processor
Godot Engine,godotengine.org,,1,Unity,"Cloud, Data & AI Software",open-source game engine rival
Goldbergh,goldbergh.com,,1,Perfect Moment,"Luxury, Fashion & Beauty",Dutch luxury skiwear brand
Golden Nugget Online Casino,goldennuggetcasino.com,,1,JackpotCity Casino,"Health, Betting & Services",US online casino
Goldwell,goldwell.com,,1,Wella Company,"Beverages, Food & CPG",Kao Corporation professional hair care brand
Golub Capital,golubcapital.com,,1,ZCG,"Payments, Banking & Insurance",Middle-market private credit rival
Google Fi,fi.google.com,YES,1,AT&T,"Telecom, Media, Electronics & Gaming","Alphabet/Google, McLaren partner"
Google Messages (RCS),messages.google.com,YES,1,WhatsApp (Meta),"Telecom, Media, Electronics & Gaming","Alphabet/Google, McLaren partner"
Google Pay,pay.google.com,YES,1,"Cash App (Block, Inc.)","Payments, Banking & Insurance",Mobile wallet rival; Google/Alphabet is McLaren partner
Goorin Bros,goorin.com,,1,New Era,"Luxury, Fashion & Beauty",Heritage hat maker
Gorgias,gorgias.com,,1,Freshworks,"Cloud, Data & AI Software",e-commerce helpdesk rival
Goyard,goyard.com,,1,Louis Vuitton (LVMH),"Luxury, Fashion & Beauty",French luxury trunk/leather goods
GP Batteries,gpbatteries.com,,1,Duracell (Berkshire Hathaway),"Telecom, Media, Electronics & Gaming",Consumer battery maker
Grand Theft Auto Online (Rockstar/Take-Two),rockstargames.com,,1,PUBG Mobile (Krafton),"Telecom, Media, Electronics & Gaming",Take-Two open-world multiplayer
Grant Thornton,grantthornton.com,,1,PwC,"Health, Betting & Services",Mid-tier audit/advisory
Grant's,grantswhisky.com,,1,Chivas Regal (Pernod Ricard),"Beverages, Food & CPG",William Grant & Sons blended Scotch
Grass Valley,grassvalley.com,,1,Riedel,"Telecom, Media, Electronics & Gaming",Broadcast production equipment
Gravity Sketch,gravitysketch.com,,1,JigSpace,"Telecom, Media, Electronics & Gaming",3D design/VR tool
Greater Miami CVB,miamiandbeaches.com,,1,LVCVA (Las Vegas Convention and Visitors Authority),"Travel, Logistics & Property",US destination marketing org
Greenhouse Software,greenhouse.io,,1,Avature,"Cloud, Data & AI Software",recruiting platform rival
Greenidge Generation Holdings,greenidge.com,,1,Core Scientific,"Cyber, IT & Hardware",digital infrastructure/power-integrated compute
Greenlight,greenlight.com,,1,Endstate,"Crypto, Trading & Wealth",family finance app
Grenade,grenade.com,,1,Optimum Nutrition (Glanbia),"Beverages, Food & CPG",UK sports nutrition/snack brand
Grey Goose,greygoose.com,,1,NEFT Vodka,"Beverages, Food & CPG",Bacardi premium vodka
Greyson Clothiers,greyson.com,,1,TravisMathew (Topgolf Callaway Brands),"Luxury, Fashion & Beauty",Premium golf lifestyle apparel brand
Griffin Technology,griffintechnology.com,,1,mophie (ZAGG),"Telecom, Media, Electronics & Gaming",Mobile accessories
Griffin Thermal Products,griffinrad.com,,1,PWR,"Energy, Industrial & Automotive",Performance radiators
Grind,grind.co.uk,,1,Beforeyouspeak Coffee,"Beverages, Food & CPG",UK performance/sustainable coffee brand
Grinds,grindspouches.com,,1,ZYN (Philip Morris International),"Beverages, Food & CPG",Turning Point Brands pouch brand
Grizzly Coolers,grizzlycoolers.com,,1,Yeti,"Luxury, Fashion & Beauty",Premium cooler brand
GRM Information Management,grmdocumentmanagement.com,,1,Iron Mountain,"Travel, Logistics & Property",Records management rival
Groupon,groupon.com,,1,Fever,"Telecom, Media, Electronics & Gaming",Local deals/experiences platform
Grow Therapy,growtherapy.com,,1,BetterUp,"Health, Betting & Services",Therapy access platform
GSE Worldwide,gseworldwide.com,,1,Juss Sports (Juss Group),"Health, Betting & Services",Sports marketing/talent agency
Guidewire Software,guidewire.com,,1,Solera,"Cyber, IT & Hardware",insurance core systems
Gupshup,gupshup.io,,1,Infobip,"Telecom, Media, Electronics & Gaming",Conversational messaging platform
Guru Energy,guruenergy.com,,1,Celsius (Celsius Holdings),"Beverages, Food & CPG",Canadian organic energy drink brand
Guy Carpenter (Marsh McLennan),guycarp.com,YES,1,Aon,"Payments, Banking & Insurance","Reinsurance broking rival; sister brand of Marsh, F1 official partner"
H.I.G. Capital,higcapital.com,,1,Carlyle,"Payments, Banking & Insurance",Mid-market private equity rival
H3C Technologies,h3c.com,,1,Extreme Networks,"Cyber, IT & Hardware",networking equipment
Haas Automation,haascnc.com,YES,1,DMG Mori,"Energy, Industrial & Automotive",Haas team owner brand
Habib's,habibs.com.br,,1,McDonald's (Arcos Dorados),"Beverages, Food & CPG",Brazilian Middle-Eastern QSR chain
Halewood Artisanal Spirits,halewood-int.com,,1,Moet Hennessy (LVMH),"Beverages, Food & CPG",UK independent spirits group
Hamad Bin Khalifa University,hbku.edu.qa,,1,KAUST,"Health, Betting & Services",Qatar Foundation research university
Hammer Strength (Life Fitness),hammerstrength.com,,1,Technogym,"Telecom, Media, Electronics & Gaming",Strength training equipment brand
Handelsblatt,handelsblatt.com,,1,Financial Times (Nikkei),"Telecom, Media, Electronics & Gaming",German business newspaper
Handy,handy.com,,1,Airtasker,"Health, Betting & Services",Home services marketplace
Harman Kardon,harmankardon.com,,1,Bang & Olufsen,"Luxury, Fashion & Beauty",Samsung premium audio brand
Harmony,harmony.one,,1,Hedera,"Crypto, Trading & Wealth",sharded L1
Harris Williams (PNC),harriswilliams.com,,1,Stephens,"Payments, Banking & Insurance",Mid-market M&A advisory rival
