#,company,domain,hq_country,sector,subsector,employees_est,revenue_est,why_f1
234,RELX Group,relx.com,United Kingdom,Enterprise Software & Data,Data Analytics & Scientific/Professional Information,40000,Revenue ~£9.4B (~$11.9B) FY2024 (public),"One of the largest global data-analytics and information companies (LexisNexis, Elsevier); UK-headquartered scale peer to F1 sponsors, but not currently sponsoring."
235,S&P Global,spglobal.com,USA,Enterprise Software & Data,Financial Data & Ratings,40000,Revenue ~$14.2B FY2024 (public),One of the largest financial data/analytics companies in the world with an audience overlap to F1's finance-sector hospitality guests; no current F1 sponsorship.
236,Sage Group,sage.com,United Kingdom,Enterprise Software & Data,SME ERP / Accounting Cloud Software,11000,Revenue ~£2.2B (~$2.8B) FY2024 (public),"UK-headquartered enterprise software major with global SME reach; has previously sponsored other sports and would gain from F1's business-audience TV numbers, currently unsponsored in F1."
237,Samsung SDS,samsungsds.com,South Korea,Enterprise Software & Data,IT Services & Cloud (Samsung Group),13000,Revenue ~₩13.1T (~$9.5B) FY2024 (public),"Samsung Group's enterprise IT/cloud arm with global logistics, cloud and AI platform ambitions; leverages Samsung's brand scale without a dedicated F1 presence today."
238,Shopify,shopify.com,Canada,Enterprise Software & Data,E-commerce Cloud Platform,8300,Revenue ~$8.9B FY2024 (public),Major global commerce-cloud platform with strong consumer brand recognition and enterprise merchant ambitions; no current motorsport sponsorship despite scale.
239,Snowflake,snowflake.com,USA,Enterprise Software & Data,Cloud Data Platform,12618,"Revenue ~$3.6B FY2025 (ending Jan 2025, public)","AI Data Cloud leader already sponsoring LA28/Team USA, showing appetite for marquee sports sponsorship; F1's global data-driven fanbase is a strong extension, no F1 deal yet."
240,SS&C Technologies,ssctech.com,USA,Enterprise Software & Data,Financial Services & Healthcare Software,27000,Revenue ~$5.8B FY2024 (public),Major fund administration and fintech SaaS provider with global institutional clients and substantial free cash flow for brand investment; no current F1 tie.
241,Tata Consultancy Services,tcs.com,India,Enterprise Software & Data,IT Services & Digital Transformation,600000,Revenue ~$29B FY2024 (public),World's largest IT services company by market cap with a huge global enterprise client base; India's growing motorsport fanbase and TCS's marathon-sponsorship history make F1 a logical next step.
242,Tencent Holdings,tencent.com,China,Enterprise Software & Data,Cloud Computing & Enterprise Software,108000,Revenue ~RMB 660B (~$91B) FY2024 (public),"Tencent Cloud and Tencent's enterprise software suite (WeCom) target global enterprise clients; F1's strong China market growth strategy is a natural entry point, currently unsponsored."
243,Thomson Reuters,thomsonreuters.com,Canada,Enterprise Software & Data,Information & Professional Software,26000,Revenue ~$6.8B FY2024 (public),"Global information services and software company (legal, tax, media) with strong AI-driven growth narrative and large marketing budget; no current motorsport presence."
244,Toast,toasttab.com,USA,Enterprise Software & Data,Restaurant / Hospitality Cloud Software,7849,Revenue ~$4.96B FY2024 (public),"Fast-growing vertical SaaS + fintech platform for restaurants; F1's global hospitality/paddock club ecosystem is a natural vertical-marketing tie-in, currently untapped."
245,Twilio,twilio.com,USA,Enterprise Software & Data,Customer Engagement / CPaaS Cloud,7770,Revenue ~$4.46B FY2024 (public),Leading communications/customer-engagement API platform reaching enterprise developers globally; no current F1 tie despite direct relevance to fan-engagement technology use cases.
246,Veeam Software,veeam.com,USA/Switzerland,Enterprise Software & Data,"Data Backup, Resilience & Ransomware Recovery",7436,"Revenue (ARR) ~$1.7B 2024 (private, Insight Partners-backed)","Fast-growing data-resilience vendor protecting Fortune 500s; 'data protection at race pace' is an easy F1 narrative, and it is not currently in any team's sponsor portfolio."
247,Verisk Analytics,verisk.com,USA,Enterprise Software & Data,Risk Data & Analytics,9000,Revenue ~$2.9B FY2024 (public),"Global risk-data and analytics leader (insurance, climate) with strong margins and brand-investment capacity; not present in motorsport sponsorship despite data-analytics being core to F1's own storytelling."
248,Wipro,wipro.com,India,Enterprise Software & Data,IT Services & Consulting,230000,Revenue ~$10.5B FY2024 (public),Major global IT services and digital transformation provider seeking premium brand differentiation against larger peers; no current F1 or major motorsport sponsorship.
249,Wix.com,wix.com,Israel,Enterprise Software & Data,Website Building / SaaS Platform,7154,Revenue ~$1.78B FY2024 (public),"Global SMB-to-enterprise website/app platform with strong brand marketing DNA (heavy Super Bowl-style ad spend); F1 sponsorship would extend that playbook internationally, currently absent."
250,Zoom Communications,zoom.us,USA,Enterprise Software & Data,Video & Collaboration Cloud,7800,"Revenue ~$4.5B FY2025 (ending Jan 2025, public)",Globally recognized collaboration brand expanding into AI-driven enterprise workflows; strong global fan overlap with F1 audiences and no current sponsorship.
251,AIA Group,aia.com,Hong Kong,"Markets, Exchanges & Consumer Finance",Pan-Asian Insurance & Wealth,23000,"Revenue (TWPI) ~$18bn (2024, HKEX:1299)","The largest independent pan-Asian life insurer, operating across 18 markets that closely track F1's Asian calendar expansion (Singapore, China, Japan, and future markets); strong digital-health/insurtech push underway."
252,Binance,binance.com,Cayman Islands (Global),"Markets, Exchanges & Consumer Finance",Cryptocurrency Exchange,8000,"Revenue est. ~$12-16bn (2023, private)","The world's largest crypto exchange by volume; rivals OKX, Crypto.com, eToro and Kraken all hold F1 deals, leaving Binance as the most prominent global crypto brand still absent from the grid."
253,Bloomberg L.P.,bloomberg.com,United States,"Markets, Exchanges & Consumer Finance","Financial Data, Terminal & Media",21000,"Revenue ~$13.5bn (2024 est., private)","The dominant financial-data terminal and news brand for trading desks worldwide; Bloomberg already covers F1 team valuations and races editorially, making a sponsorship a natural extension of its market-and-motorsport crossover content."
254,Capital One Financial Corporation,capitalone.com,United States,"Markets, Exchanges & Consumer Finance",Consumer Credit Cards & Banking,59000,"Revenue ~$47.5bn (2024, NYSE:COF; now including Discover post-May 2025 merger)","A top-5 US card issuer (and now parent of Discover following its 2025 acquisition) with an aggressive consumer marketing culture; no current F1 tie despite deep experiential-sponsorship history (e.g., college sports, arenas)."
255,Deutsche Börse Group,deutsche-boerse.com,Germany,"Markets, Exchanges & Consumer Finance",Exchange / Market Infrastructure & Clearing,11000,"Revenue ~€5.6bn (2024, public/XETRA:DB1)","Operator of Eurex, Clearstream and Xetra; a natural fit for F1's German Grand Prix heritage and Mercedes/Red Bull fan bases, and it has no existing F1 partnership to conflict with."
256,DTCC (Depository Trust & Clearing Corporation),dtcc.com,United States,"Markets, Exchanges & Consumer Finance",Post-Trade / Clearing & Settlement Infrastructure,7667,"Revenue ~$2.3bn (2023 est., industry-owned/private)",Processes trillions in daily securities transactions for the entire US market; a premium sponsorship gives this normally low-profile market-plumbing giant rare global brand exposure to complement its B2B financial-institution relationships.
257,FactSet Research Systems,factset.com,United States,"Markets, Exchanges & Consumer Finance",Investment Research & Analytics Platform,15327,"Revenue ~$2.2bn (FY2024, NYSE:FDS)","A core analytics platform for 200,000+ investment professionals; global motorsport sponsorship would help FactSet build brand awareness outside its buy-side/sell-side niche as it competes with Bloomberg and Refinitiv/LSEG."
258,Franklin Templeton (Franklin Resources),franklinresources.com,United States,"Markets, Exchanges & Consumer Finance",Global Asset Management,11352,"Revenue ~$8.4bn (FY2024, NYSE:BEN)",A truly global asset manager with offices across 30+ countries mirroring F1's international calendar; actively expanding into digital assets (Franklin Crypto) and alternative distribution channels.
259,Intercontinental Exchange (ICE),theice.com,United States,"Markets, Exchanges & Consumer Finance",Exchange / Market Infrastructure,13000,"Revenue ~$9.3bn (2024, NYSE:ICE)",Owner of NYSE and major derivatives/mortgage-tech infrastructure; ICE competes directly with roster member Nasdaq for brand visibility and has consistently used sports sponsorship to build retail-investor awareness in North America.
260,Jefferies Financial Group,jefferies.com,United States,"Markets, Exchanges & Consumer Finance",Investment Banking & Capital Markets,8460,"Revenue ~$7bn (FY2024, NYSE:JEF)","An independent global investment bank with 40+ offices worldwide, well-capitalized and expanding aggressively; sponsorship would be a distinctive move to differentiate from larger bulge-bracket rivals."
261,LPL Financial Holdings,lpl.com,United States,"Markets, Exchanges & Consumer Finance",Independent Broker-Dealer / Wealth Platform,14926,"Revenue ~$11.3bn (2024, Nasdaq:LPLA)","The largest independent broker-dealer network in the US, supporting ~29,000 advisors; sponsorship would build direct consumer brand recognition beyond its advisor-facing B2B model."
262,LSEG (London Stock Exchange Group),lseg.com,United Kingdom,"Markets, Exchanges & Consumer Finance",Exchange / Market Infrastructure & Data,26000,"Revenue ~£8.6bn (2024, public/LSE:LSEG)","UK-headquartered market infrastructure giant (exchanges, Refinitiv data, clearing) with global brand ambitions and a London base close to F1's commercial HQ; F1's affluent, data-hungry fanbase overlaps with LSEG's institutional and retail investor audience."
263,Mercado Libre,mercadolibre.com,Argentina (LatAm),"Markets, Exchanges & Consumer Finance",Super-App with Fintech Arm (Mercado Pago),69740,"Revenue ~$21bn (2024, Nasdaq:MELI)","LatAm's dominant e-commerce and fintech super-app; Mercado Pago is one of the region's largest digital wallets, and F1's growing LatAm footprint (Mexico City, São Paulo, Miami) is a direct strategic match."
264,Morningstar,morningstar.com,United States,"Markets, Exchanges & Consumer Finance",Investment Research & Ratings,12021,"Revenue ~$2.3bn (2024, Nasdaq:MORN)","A household name among retail and advisor investors for fund ratings; F1's growing retail-investor-aged fan demographic (younger, digitally engaged) matches Morningstar's push to reach self-directed investors globally."
265,MSCI Inc.,msci.com,United States,"Markets, Exchanges & Consumer Finance",Index Provider & ESG/Risk Analytics,8143,"Revenue ~$2.75bn (2024, NYSE:MSCI)",Provider of the world's most widely tracked equity indices; a global sponsorship platform aligns with MSCI's institutional-to-brand-recognition ambitions and its expansion into private markets and climate data.
266,SoFi Technologies,sofi.com,United States,"Markets, Exchanges & Consumer Finance","Digital Banking, Lending & Investing",6788,"Revenue ~$2.6bn (2024, Nasdaq:SOFI)","A fast-growing US neobank/investing app targeting young, affluent, digitally-native consumers — precisely F1's fastest-growing US fan cohort; already sponsors an NFL stadium, showing appetite for major sports marketing."
267,Stifel Financial Corp.,stifel.com,United States,"Markets, Exchanges & Consumer Finance",Wealth Management & Investment Banking,7492,"Revenue ~$4.6bn (2024, NYSE:SF)",A fast-growing full-service wealth management and investment bank seeking to raise its national profile against larger rivals; global sports sponsorship is an underused lever in its brand-building strategy.
268,TransUnion,transunion.com,United States,"Markets, Exchanges & Consumer Finance",Credit Bureau & Consumer Data,13000,"Revenue ~$4.1bn (2024, NYSE:TRU)","Global credit-reporting and risk-analytics firm with fast-growing international (India, Africa, LatAm) operations that mirror F1's own emerging-market expansion into new Grand Prix host regions."
269,XP Inc.,xpinc.com,Brazil,"Markets, Exchanges & Consumer Finance",Retail Brokerage & Investment Platform,13268,"Revenue ~R$16.7bn / ~$3.3bn (2024, Nasdaq:XP)","Brazil's dominant independent investment platform (XP, Rico, Clear) in a country with one of F1's most passionate fanbases and a home Grand Prix in São Paulo."
270,Alight Solutions,alight.com,United States,Payments & Fintech at Scale,Payroll & benefits administration fintech,11141,Revenue ~$2.2B est. (FY2024),Large-scale benefits/payroll administration fintech (NYSE: ALIT) serving 30M+ people; no current F1 presence.
271,Ant Group,antgroup.com,China,Payments & Fintech at Scale,Digital payments & financial services (Alipay),16000,"Revenue ~$20B+ est. (2023, private)","Operator of Alipay, one of the world's largest digital payment platforms; China is a strategic growth market for F1 with no Ant Group tie-in yet."
272,Broadridge Financial Solutions,broadridge.com,United States,Payments & Fintech at Scale,Fintech infrastructure / investor communications,17918,Revenue $6.4B (FY2024),"S&P 500 fintech infrastructure company underpinning trillions in daily securities trading; no current F1 tie, fits enterprise fintech profile."
273,Corpay,corpay.com,United States,Payments & Fintech at Scale,B2B / fleet / cross-border payments,7170,Revenue $4.0B (FY2024),Global B2B payments and fleet-card company (NYSE: CPAY) with cross-border payments ambitions and large marketing spend; not an F1 sponsor.
274,Dayforce (formerly Ceridian),dayforce.com,United States,Payments & Fintech at Scale,HCM / payroll platform,6815,Revenue $1.75B (FY2024),Cloud payroll/HCM platform (NYSE: DAY) rebranded in 2024 and actively investing in brand marketing; not sponsoring F1 currently.
275,Deel,deel.com,United States,Payments & Fintech at Scale,Global payroll / HR-fintech,9717,"~$800M ARR est. (2024, private)",One of the fastest-growing global payroll/HR-fintech platforms with a large marketing budget and international ambitions; no motorsport sponsorship yet.
276,Diebold Nixdorf,dieboldnixdorf.com,United States,Payments & Fintech at Scale,ATM & retail payments technology,20588,Revenue $3.65B (FY2024),Global leader in ATM and payments/self-checkout technology serving nearly all of the world's top 100 banks; not currently sponsoring F1.
277,Edenred,edenred.com,France,Payments & Fintech at Scale,Employee benefits / prepaid payments,12000,Revenue €2.7B (FY2024),"Global leader in employee benefits and prepaid payment cards operating in 44+ countries; no existing motorsport sponsorship, strong European base."
278,Euronet Worldwide,euronetworldwide.com,United States,Payments & Fintech at Scale,Payments processing / money transfer / ATM network,9300,Revenue $3.8B (FY2024),Global payments and cross-border money-transfer network (Nasdaq: EEFT) operating in 200+ countries; no existing F1 sponsorship.
279,Finastra,finastra.com,United Kingdom,Payments & Fintech at Scale,Banking & payments software,12478,"Revenue ~$2.0B est. (FY2024, private)",Global banking/payments software vendor serving thousands of financial institutions; no current F1 partnership despite scale and global footprint.
280,Global Payments Inc. (incl. Worldpay),globalpayments.com,United States,Payments & Fintech at Scale,Merchant acquiring / payments technology,38000,"Revenue $9.2B (FY2024, pre-Worldpay); combined entity larger after Jan 2026 Worldpay merger","Newly combined payments giant (Global Payments + Worldpay, closed Jan 2026) processing trillions in volume across 175+ countries; no F1 sponsorship currently held."
281,MercadoLibre / Mercado Pago,mercadopago.com,Argentina,Payments & Fintech at Scale,E-commerce & fintech ecosystem,90000,"Revenue $21.0B (FY2024, MELI consolidated)","Latin America's dominant e-commerce/fintech ecosystem (Mercado Pago) with massive regional reach; strong fit for F1's LatAm growth push, currently unsponsored."
282,NCR Atleos,ncratleos.com,United States,Payments & Fintech at Scale,ATM & payments network infrastructure,20000,Revenue $4.3B (FY2024),"Operator of the world's largest independently-owned ATM network and self-service payments infrastructure; spun off from NCR in 2023, no F1 sponsorship yet."
283,NCR Voyix,ncrvoyix.com,United States,Payments & Fintech at Scale,Unified commerce / restaurant & retail payments,7991,Revenue $2.5B (FY2024),Restaurant/retail payments and unified-commerce platform (NYSE: VYX) spun off from NCR in 2023; no existing motorsport sponsorship.
284,Nexi Group,nexigroup.com,Italy,Payments & Fintech at Scale,Payments processing / acquiring,10000,Revenue €3.2B (FY2024),"Leading pan-European payments company headquartered in Ferrari's home market (Italy); strong regional brand fit, no existing F1 deal."
285,PagBank (PagSeguro Digital),pagbank.com.br,Brazil,Payments & Fintech at Scale,Digital bank / merchant payments,9650,Revenue R$18.3B / ~$3.6B (FY2024),"Large Brazilian digital bank and payments company (NYSE: PAGS); taps into F1's growing Brazilian fanbase, no current sponsorship."
286,Paylocity,paylocity.com,United States,Payments & Fintech at Scale,Payroll & HR technology,7099,Revenue $1.4B (FY2024),Growing US payroll/HR-fintech company (Nasdaq: PCTY) with a young workforce-facing brand; no motorsport sponsorship on record.
287,PayPal Holdings,paypal.com,United States,Payments & Fintech at Scale,Digital wallet / online payment platform,27000,Revenue $31.8B (FY2024),"Global consumer payments brand with huge cross-border volume and a fanbase overlap with F1's affluent, tech-forward audience; not currently an F1 sponsor/partner."
288,StoneCo,stone.co,Brazil,Payments & Fintech at Scale,Merchant acquiring / payments,15000,Revenue R$9.7B / ~$1.9B (FY2024),Major Brazilian payments/merchant-acquiring company (Nasdaq: STNE); Brazil is a passionate F1 market with no direct fintech sponsor yet.
289,Stripe,stripe.com,United States,Payments & Fintech at Scale,Payments infrastructure / processor,9000,"~$1.7B est. net revenue (2023, private); processed $1.4T+ payment volume in 2024",Fast-growing global payments infrastructure company with strong brand cachet among enterprise and startup customers; no existing motorsport sponsorship.
290,Synchrony Financial,synchrony.com,United States,Payments & Fintech at Scale,Consumer financing / private-label credit,16354,Total revenue $18.5B (FY2024),Large US consumer-finance/credit-card fintech (NYSE: SYF) with major retail partnerships; no current motorsport sponsorship.
291,Western Union,westernunion.com,United States,Payments & Fintech at Scale,Cross-border money transfer,15610,Revenue $4.2B (FY2024),"Iconic global money-transfer brand with operations in 200+ countries and deep global-audience reach; not currently sponsoring F1 (MoneyGram, a direct competitor, already is)."
292,Wise,wise.com,United Kingdom,Payments & Fintech at Scale,Cross-border payments,11653,Revenue £1.05B (FY2024),"Fast-growing, publicly listed cross-border payments network with a young, global, digitally-native user base overlapping F1's growth demographic; not a current sponsor."
293,Worldline,worldline.com,France,Payments & Fintech at Scale,Merchant acquiring / payments processor,16000,Revenue €4.4B (FY2024),"Europe's largest payments processor with deep motorsport-market presence (France/Italy/UK); logical merchant-acquirer sponsor category, currently unsponsored in F1."
294,Advantest Corporation,advantest.com,Japan,Semiconductors & Digital Infrastructure,Semiconductor Test Equipment,6900,~$4.3B revenue (FY2024),"AI-boom test-equipment leader (Nvidia/TSMC supplier); consolidated headcount ~6,900 clears threshold (single-site LinkedIn count reads lower); no F1 sponsorship."
295,American Tower Corporation,americantower.com,USA,Semiconductors & Digital Infrastructure,Wireless Tower Infrastructure,6100,~$11.3B revenue (2024),"World's largest independent tower operator; headcount is borderline (~6,100 per LinkedIn) but revenue scale is enterprise-grade; unclaimed telecom-infrastructure category."
296,Amphenol Corporation,amphenol.com,USA,Semiconductors & Digital Infrastructure,Connectors & Interconnect Systems,100000,~$15.2B revenue (2024),Top global connector maker (including motorsport-grade harnesses) riding the AI/data-center interconnect wave; unclaimed.
297,Analog Devices,analog.com,USA,Semiconductors & Digital Infrastructure,Analog & Mixed-Signal Semiconductors,24000,~$9.4B revenue (FY2024),Precision sensing/signal-chain leader used in motorsport telemetry-adjacent industrial applications; unclaimed category.
298,Arista Networks,arista.com,USA,Semiconductors & Digital Infrastructure,Data Center Networking,7000,~$7.0B revenue (2024),"Cloud/AI data-center networking leader (high-speed Ethernet switching); unclaimed, high-margin brand-building budget."
299,ASE Technology Holding,aseglobal.com,Taiwan,Semiconductors & Digital Infrastructure,Semiconductor Assembly & Test (OSAT),90000,~$19.6B revenue (2024),"World's largest OSAT/packaging company underpinning advanced-packaging AI chips; unclaimed, large enterprise budget."
300,Celestica Inc.,celestica.com,Canada,Semiconductors & Digital Infrastructure,Electronics Manufacturing Services (Data Center/AI Hardware),26000,~$9.6B revenue (2024),"North American EMS leader with booming AI/data-center hardware segment; stock and brand momentum, unclaimed."
301,Coherent Corp,coherent.com,USA,Semiconductors & Digital Infrastructure,Optical Components for Data Centers/AI,23000,~$5.4B revenue (FY2024),Photonics/optical transceiver leader for AI data-center interconnect; unclaimed.
302,Corning Incorporated,corning.com,USA,Semiconductors & Digital Infrastructure,Optical Fiber & Specialty Materials,57000,~$13.6B revenue (2024),Optical fiber/glass leader tied to AI data-center connectivity buildout; materials-science story fits F1 engineering narrative; unclaimed.
303,Delta Electronics,deltaww.com,Taiwan,Semiconductors & Digital Infrastructure,Power Supplies & Data Center Infrastructure,89000,"~$15B revenue (2024, NT$477B)",Global leader in power electronics/EV chargers/data-center power; also active in motorsport-relevant EV tech; unclaimed.
304,Eaton Corporation,eaton.com,Ireland,Semiconductors & Digital Infrastructure,Power Management for Data Centers,92000,~$24.9B revenue (2024),"Power management giant with a large, fast-growing data-center electrification business; unclaimed (Schneider Electric holds the rival slot)."
305,Entegris Inc.,entegris.com,USA,Semiconductors & Digital Infrastructure,Semiconductor Materials,8000,~$3.1B revenue (2024),Critical materials/contamination-control supplier to chip fabs worldwide; unclaimed niche with strong margins.
306,Fabrinet,fabrinet.com,Thailand,Semiconductors & Digital Infrastructure,Optical & Electro-Mechanical Manufacturing,13000,~$2.7B revenue (FY2024),"Precision optical/electro-mechanical manufacturer for AI networking and telecom customers; unclaimed, Asia-based growth story."
307,Flex Ltd.,flex.com,USA,Semiconductors & Digital Infrastructure,Electronics Manufacturing Services,150000,~$25.8B revenue (FY2024),Global EMS leader building data-center/power infrastructure hardware; unclaimed.
308,GlobalFoundries,gf.com,USA,Semiconductors & Digital Infrastructure,Semiconductor Foundry,13000,~$7.4B revenue (2024),"Largest US-headquartered pure-play foundry outside Intel; unclaimed, strong brand-building budget post-IPO."
309,Hon Hai Precision Industry (Foxconn),foxconn.com,Taiwan,Semiconductors & Digital Infrastructure,Electronics Manufacturing / AI Server Assembly,200000,~$210B revenue (2024),"World's largest electronics manufacturer, now a top AI-server assembler (Nvidia GB200 racks); massive scale, no F1 tie."
310,Infineon Technologies,infineon.com,Germany,Semiconductors & Digital Infrastructure,Power Semiconductors,58000,~€14.9B revenue (FY2024),"Europe's largest chipmaker, power semis for EV/hybrid powertrains; German GP/F1 fan base overlap; unclaimed."
311,Intel Corporation,intel.com,USA,Semiconductors & Digital Infrastructure,Semiconductor IDM & Foundry,99500,~$53.1B revenue (2024),Global chipmaker rebuilding its brand around AI/foundry leadership; verified not on the 2026 sponsor roster (AMD holds the rival slot); scale fits F1's enterprise tech tier.
312,Inventec Corporation,inventec.com,Taiwan,Semiconductors & Digital Infrastructure,Server & Notebook ODM,50000,~$15.6B revenue (2024),Leading server/notebook ODM benefiting from AI server demand; no F1 presence.
313,Jabil Inc.,jabil.com,USA,Semiconductors & Digital Infrastructure,Electronics Manufacturing Services / Data Center,135000,~$28.9B revenue (FY2024),Diversified manufacturing partner with fast-growing AI/cloud infrastructure segment; unclaimed.
314,Keysight Technologies,keysight.com,USA,Semiconductors & Digital Infrastructure,Test & Measurement Equipment,14500,~$4.9B revenue (FY2024),"Test/measurement equipment leader used across semiconductor, 5G and automotive validation; precision-engineering brand fit; unclaimed."
315,Kioxia Holdings,kioxia.com,Japan,Semiconductors & Digital Infrastructure,NAND Flash Memory,13000,"~$10B revenue (FY2024, ¥1.5T)","Major NAND flash producer (ex-Toshiba Memory), recently IPO'd; brand-building budget, unclaimed."
316,KLA Corporation,kla.com,USA,Semiconductors & Digital Infrastructure,Semiconductor Process Control Equipment,15000,~$11.9B revenue (FY2024),Chip-inspection/metrology leader whose precision-measurement pitch mirrors F1 engineering; not sponsoring.
317,Lam Research,lamresearch.com,USA,Semiconductors & Digital Infrastructure,Semiconductor Equipment (Etch/Deposition),18000,~$17.4B revenue (FY2024),Wafer-fab equipment leader with strong balance sheet for sponsorship; no F1 presence.
318,Legrand SA,legrand.com,France,Semiconductors & Digital Infrastructure,Electrical & Digital Infrastructure,40000,~€8.3B revenue (2024),French electrical/data infrastructure specialist (growing data-center business); French GP tie-in potential; unclaimed.
319,Microchip Technology,microchip.com,USA,Semiconductors & Digital Infrastructure,Microcontrollers & Analog Semiconductors,16000,"~$5.3B revenue (FY2024, cyclical downturn)",Broad-based MCU/analog supplier to industrial and automotive; unclaimed sponsor category.
320,MKS Instruments,mks.com,USA,Semiconductors & Digital Infrastructure,Semiconductor Equipment & Components,7500,~$3.7B revenue (2024),Process-control and specialty equipment maker for semiconductor and electronics manufacturing; unclaimed.
321,Murata Manufacturing,murata.com,Japan,Semiconductors & Digital Infrastructure,Electronic Components,75000,"~$12.5B revenue (FY2024, ¥1.9T)",World's largest MLCC/passive-components maker essential to EVs and data centers; unclaimed.
322,Nidec Corporation,nidec.com,Japan,Semiconductors & Digital Infrastructure,Motors & Cooling Systems for Data Centers,110000,"~$14.5B revenue (FY2024, ¥2.18T)","World's largest precision motor maker, now a key supplier of data-center liquid-cooling and fan systems for AI servers; unclaimed."
323,NXP Semiconductors,nxp.com,Netherlands,Semiconductors & Digital Infrastructure,Automotive/IoT Semiconductors,34500,~$12.6B revenue (2024),Leading automotive semiconductor supplier; Dutch GP tie-in; unclaimed sponsor slot.
324,onsemi (ON Semiconductor),onsemi.com,USA,Semiconductors & Digital Infrastructure,Power & Sensing Semiconductors,27000,~$7.1B revenue (2024),Leading power semiconductor/EV silicon-carbide supplier; direct relevance to hybrid powertrain tech; unclaimed.
325,Pegatron Corporation,pegatroncorp.com,Taiwan,Semiconductors & Digital Infrastructure,Electronics Manufacturing / Servers,80000,~$40B revenue (2024),Major EMS/server manufacturer diversifying beyond consumer devices into AI infrastructure; unclaimed.
326,Qorvo Inc.,qorvo.com,USA,Semiconductors & Digital Infrastructure,RF Semiconductors,7700,~$3.6B revenue (FY2024),"RF/connectivity chipmaker for mobile and infrastructure; unclaimed, comparable scale to sponsor-tier peers."
327,Quanta Computer,quantatw.com,Taiwan,Semiconductors & Digital Infrastructure,Server & AI Hardware ODM,80000,"~$70B revenue (2024, AI server boom)",Top AI/cloud server ODM for hyperscalers; revenue surging with AI infrastructure buildout; unclaimed.
328,Renesas Electronics,renesas.com,Japan,Semiconductors & Digital Infrastructure,Microcontrollers & Semiconductors,21000,"~$10B revenue (2024, ¥1.5T)",Top automotive MCU supplier expanding into data-center/AI chips; Japan GP audience; unclaimed.
329,Sanmina Corporation,sanmina.com,USA,Semiconductors & Digital Infrastructure,Electronics Manufacturing Services,30000,~$7.5B revenue (FY2024),Diversified EMS provider with growing cloud/data-center and defense electronics business; unclaimed.
330,Seagate Technology,seagate.com,Ireland,Semiconductors & Digital Infrastructure,Data Storage,20000,~$7.4B revenue (FY2024),Global HDD leader riding AI data-growth demand; unclaimed.
331,SK hynix,skhynix.com,South Korea,Semiconductors & Digital Infrastructure,Memory Semiconductors (HBM/DRAM),35000,"~$48B revenue (2024, KRW converted)",World-leading HBM supplier for AI servers; South Korea has no current F1 team sponsor from this category; strong growth story to associate with.
332,Skyworks Solutions,skyworksinc.com,USA,Semiconductors & Digital Infrastructure,RF Semiconductors,7000,~$3.75B revenue (FY2024),"RF/wireless chip leader (5G, connected devices); above 6,000-employee threshold per company filings; unclaimed."
333,STMicroelectronics,st.com,Switzerland,Semiconductors & Digital Infrastructure,Semiconductors,50000,~$13.3B revenue (2024),"Major European chipmaker (automotive, power, MCUs) with Italian/French roots and motorsport-adjacent automotive customers; unclaimed."
334,Super Micro Computer (Supermicro),supermicro.com,USA,Semiconductors & Digital Infrastructure,AI/Cloud Server Hardware,6400,~$14.9B revenue (FY2024),"Fast-growing AI/GPU server maker (Nvidia partner); headcount verified just above 6,000 threshold per recent filings; unclaimed."
335,TDK Corporation,tdk.com,Japan,Semiconductors & Digital Infrastructure,Electronic Components & Batteries,129000,"~$14.8B revenue (FY2024, ¥2.24T)",Major electronic components/sensor and battery maker with strong automotive ties; unclaimed.
336,TE Connectivity,te.com,Switzerland,Semiconductors & Digital Infrastructure,Connectors & Sensors,85000,~$15.8B revenue (FY2024),Connector/sensor giant already active in motorsport-adjacent automotive electrification; unclaimed F1 slot.
337,Teradyne Inc.,teradyne.com,USA,Semiconductors & Digital Infrastructure,Semiconductor Test Equipment,6500,~$2.8B revenue (2024),"Leading automated test equipment (ATE) maker for AI/mobile chips, also owns industrial robotics arm; unclaimed."
338,Tokyo Electron,tel.com,Japan,Semiconductors & Digital Infrastructure,Semiconductor Equipment,20000,"~$15.5B revenue (FY2024, ¥2.36T)",Top-3 global chip equipment maker; Japan GP presence gives home-market activation angle; unclaimed.
339,TSMC (Taiwan Semiconductor Manufacturing Company),tsmc.com,Taiwan,Semiconductors & Digital Infrastructure,Semiconductor Foundry,76000,~$90B revenue (2024),World's dominant foundry powering nearly every AI/HPC chip on the grid's simulation and data pipeline; not an F1 sponsor; huge marketing budget and China/Taiwan/US enterprise audience F1 wants.
340,United Microelectronics Corp (UMC),umc.com,Taiwan,Semiconductors & Digital Infrastructure,Semiconductor Foundry,19000,~$7.6B revenue (2024),"World's #4 foundry; unclaimed category, Taiwan tech-hub visibility."
341,Vertiv Holdings,vertiv.com,USA,Semiconductors & Digital Infrastructure,Data Center Power & Cooling Infrastructure,30000,~$8.0B revenue (2024),Pure-play data-center power/thermal management leader (liquid cooling for AI); no F1 or major motorsport deal found; strong growth narrative.
342,Western Digital Corporation,westerndigital.com,USA,Semiconductors & Digital Infrastructure,Data Storage,26000,~$13.0B revenue (FY2024),Major HDD/flash storage supplier for hyperscale data centers; unclaimed.
